tipo_celular,module_size,TAGLN3_MM,TAGLN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.206,65.0,251,1,0.4,4.29 (NA-NA),250,99.6,4.06 (3.82-4.30),3.79,6.16
GABA neurons expressing GLU receptors 22,848.0,0.269,69.0,262,8,3.05,2.79 (1.42-4.15),254,96.95,4.22 (3.97-4.47),5.06,4.07
GLU like neurons 17,1316.0,0.208,94.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220.0,0.452,96.0,410,2,0.49,0.55 (NA-NA),408,99.51,4.26 (4.07-4.45),7.88,7.51
GABA neurons expressing GABA receptors 13,417.0,0.227,82.0,213,8,3.76,0.96 (0.38-1.55),205,96.24,3.90 (3.66-4.13),7.19,9.78
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.606,96.0,455,6,1.32,1.50 (-0.05-3.05),449,98.68,4.39 (4.21-4.58),29.16,8.56
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.098,73.0,276,4,1.45,1.41 (0.82-2.00),272,98.55,3.58 (3.36-3.80),6.97,5.08
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.209,76.0,182,2,1.1,1.57 (1.57-1.57),180,98.9,3.66 (3.41-3.92),3.49,8.58
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
