tipo_celular,module_size,ATP8A1_MM,ATP8A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.502,92.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,349,0.203,57.0,68,7,10.29,1.96 (1.52-2.40),61,89.71,4.74 (4.18-5.31),3.55,3.29
astrocytes 5,165,0.397,84.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,229,0.201,55.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567,0.316,83.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637,0.317,84.0,91,11,12.09,1.11 (0.50-1.72),80,87.91,5.21 (4.78-5.64),4.02,2.93
da like neurons 11,408,0.274,70.0,25,7,28.0,3.09 (0.77-5.41),18,72.0,5.43 (3.97-6.90),2.10,2.35
GABA neurons expressing GABA receptors 13,288,0.216,66.0,93,4,4.3,1.90 (1.08-2.72),89,95.7,5.34 (4.86-5.82),3.36,3.98
endothelial cells 9,450,0.516,88.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08),4.42,3.63
oligodendrocytes 20,676,0.212,44.0,110,2,1.82,1.26 (0.33-2.20),108,98.18,5.09 (4.65-5.53),4.73,3.50
GABA like neurons 14,1300,0.161,27.0,306,17,5.56,2.32 (1.80-2.83),289,94.44,5.34 (5.09-5.60),4.92,6.81
astrocytes 8,771,0.722,98.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,103,0.43,30.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,204,0.299,21.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28),7.06,3.65
connective tissue cells 21,250,0.622,88.0,117,6,5.13,2.04 (1.62-2.47),111,94.87,5.63 (5.25-6.00),4.53,3.70
astrocytes 15,458,0.331,94.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,71,0.119,15.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA,1.65,NA
da neurons 6,398,0.281,84.0,138,5,3.62,1.69 (0.29-3.08),133,96.38,4.96 (4.60-5.32),3.35,2.71
astrocytes microglia 23,94,0.301,38.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,102,0.28,74.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40),NA,3.16
oligodendrocytes 0,479,0.204,82.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,127,0.29,75.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12),2.39,2.48
oligodendrocytes 3,639,0.158,84.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,237,0.411,97.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
