tipo_celular,module_size,RPS6_MM,RPS6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.439,83.0,98,31,31.63,3.25 (2.59-3.91),67,68.37,3.19 (2.52-3.85),29.51,6.03
T cells 18,506.0,0.433,90.0,225,41,18.22,3.29 (2.73-3.85),184,81.78,3.70 (3.42-3.98),18.45,5.55
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.289,89.0,108,15,13.89,4.54 (3.68-5.41),93,86.11,3.01 (2.54-3.49),24.71,15.90
GABA neurons expressing GLU receptors 22,848.0,0.127,14.0,262,20,7.63,3.05 (1.94-4.15),242,92.37,4.26 (4.02-4.51),5.44,3.99
GLU like neurons 17,685.0,0.267,87.0,135,41,30.37,2.52 (2.09-2.94),94,69.63,3.53 (3.14-3.91),4.94,3.23
da like neurons 11,1220.0,0.168,46.0,410,30,7.32,3.48 (2.98-3.99),380,92.68,4.32 (4.12-4.52),10.35,7.29
GABA neurons expressing GABA receptors 13,101.0,0.178,64.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,916.0,0.489,91.0,302,18,5.96,3.86 (2.86-4.86),284,94.04,3.99 (3.76-4.22),27.78,9.57
oligodendrocytes 20,938.0,0.178,73.0,169,27,15.98,3.38 (2.71-4.04),142,84.02,3.50 (3.27-3.73),11.18,4.26
GABA like neurons 14,2402.0,0.29,64.0,455,49,10.77,2.69 (2.15-3.23),406,89.23,4.60 (4.42-4.78),20.72,7.40
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.187,82.0,235,20,8.51,4.17 (3.43-4.91),215,91.49,3.79 (3.54-4.03),22.17,6.26
oligodendrocytes 10,483.0,0.482,96.0,129,16,12.4,4.52 (3.71-5.32),113,87.6,3.25 (2.82-3.67),38.67,16.43
connective tissue cells 21,301.0,0.422,62.0,158,29,18.35,3.71 (3.05-4.37),129,81.65,4.44 (4.00-4.87),20.68,4.01
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,158.0,0.129,3.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,729.0,0.149,48.0,182,25,13.74,3.56 (2.82-4.30),157,86.26,3.65 (3.38-3.92),23.21,6.18
astrocytes microglia 23,137.0,0.368,50.0,188,42,22.34,2.80 (2.25-3.34),146,77.66,5.00 (4.65-5.35),19.55,3.58
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.256,81.0,252,45,17.86,2.72 (2.16-3.27),207,82.14,4.48 (4.24-4.73),18.70,5.93
microglia 1,406.0,0.515,90.0,278,18,6.47,4.20 (3.69-4.70),260,93.53,4.38 (4.08-4.67),29.72,5.15
oligodendrocytes 3,303.0,0.21,75.0,154,15,9.74,4.54 (3.68-5.41),139,90.26,3.51 (3.17-3.84),44.59,8.31
oligodendrocytes 2,526.0,0.298,59.0,213,12,5.63,4.40 (3.43-5.36),201,94.37,3.95 (3.67-4.24),37.25,6.19
