tipo_celular,module_size,PAIP1_MM,PAIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.136,31.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12),2.46,3.35
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.141,60.0,353,61,17.28,3.17 (2.71-3.63),292,82.72,4.09 (3.89-4.28),12.30,7.18
GABA neurons expressing GLU receptors 22,703.0,0.14,24.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,137.0,0.149,14.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,77.0,0.218,77.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,338.0,0.061,4.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,271.0,0.131,28.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,3052.0,0.198,91.0,125,1,0.8,5.57 (NA-NA),124,99.2,3.33 (3.01-3.65),1.53,8.67
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,218.0,0.07,26.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,735.0,0.069,28.0,277,5,1.81,6.36 (4.36-8.35),272,98.19,3.86 (3.62-4.10),2.20,9.07
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,65.0,0.121,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.071,13.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78),3.01,3.53
astrocytes microglia 23,131.0,0.32,47.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54),NA,2.65
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.113,46.0,238,23,9.66,4.21 (3.52-4.89),215,90.34,3.56 (3.33-3.79),3.89,5.14
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.07,33.0,76,4,5.26,5.24 (2.94-7.53),72,94.74,3.03 (2.65-3.41),2.57,7.55
oligodendrocytes 2,1630.0,0.152,70.0,154,5,3.25,4.09 (1.35-6.83),149,96.75,3.22 (2.96-3.48),2.05,3.64
