tipo_celular,module_size,ANTXR1_MM,ANTXR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.293,96.0,32,1,3.12,NA,31,96.88,5.02 (4.53-5.52),1.81,3.86
oligodendrocyte progenitor cells 7,436.0,0.095,26.0,219,7,3.2,4.61 (4.10-5.12),212,96.8,5.23 (4.93-5.52),6.24,4.56
GABA neurons expressing GLU receptors 22,459.0,0.232,76.0,165,5,3.03,3.58 (2.38-4.78),160,96.97,5.12 (4.77-5.47),4.12,4.09
GLU like neurons 17,489.0,0.18,72.0,42,2,4.76,4.33 (4.33-4.33),40,95.24,6.11 (5.54-6.68),5.45,3.10
da like neurons 11,102.0,0.404,85.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20),2.05,1.90
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.262,71.0,54,4,7.41,NA,50,92.59,4.84 (4.22-5.46),3.79,5.13
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.114,22.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.089,58.0,66,10,15.15,1.33 (0.50-2.16),56,84.85,3.63 (3.24-4.02),3.71,2.82
oligodendrocyte progenitor cells 12,143.0,0.507,96.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,104.0,0.262,34.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.123,78.0,96,7,7.29,4.61 (3.39-5.84),89,92.71,3.54 (3.08-4.01),4.11,3.77
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.299,78.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,161.0,0.141,26.0,45,4,8.89,NA,41,91.11,5.28 (4.66-5.91),2.82,3.13
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
