tipo_celular,module_size,TRAM1_MM,TRAM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.183,32.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,518.0,0.153,49.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656.0,0.178,100.0,136,5,3.68,3.76 (3.68-3.85),131,96.32,3.18 (2.90-3.47),3.81,5.03
oligodendrocyte progenitor cells 7,4285.0,0.159,84.0,353,24,6.8,2.08 (1.52-2.63),329,93.2,4.06 (3.88-4.25),23.35,6.95
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,197.0,0.181,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.216,68.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,358.0,0.038,12.0,31,5,16.13,3.66 (3.44-3.89),26,83.87,2.10 (1.65-2.55),1.79,4.23
GABA like neurons 14,3052.0,0.158,66.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.054,14.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.075,46.0,276,9,3.26,2.73 (1.91-3.55),267,96.74,3.58 (3.35-3.80),7.94,5.01
oligodendrocytes 10,483.0,0.096,40.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,142.0,0.305,41.0,55,6,10.91,3.16 (0.64-5.69),49,89.09,3.49 (2.63-4.34),4.10,3.19
astrocytes 15,458.0,0.036,9.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,91.0,0.227,72.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,112.0,0.305,43.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.177,96.0,104,12,11.54,2.88 (1.96-3.79),92,88.46,2.86 (2.56-3.16),7.68,5.10
oligodendrocytes 0,2078.0,0.152,99.0,238,4,1.68,2.12 (0.58-3.66),234,98.32,3.67 (3.45-3.89),6.46,5.00
microglia 1,813.0,0.146,76.0,79,8,10.13,3.36 (2.76-3.95),71,89.87,3.07 (2.62-3.52),3.33,8.42
oligodendrocytes 3,743.0,0.096,68.0,76,6,7.89,4.29 (3.26-5.31),70,92.11,3.05 (2.64-3.46),5.42,7.45
oligodendrocytes 2,1630.0,0.129,26.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
