tipo_celular,module_size,RBMX_MM,RBMX_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.128,30.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,282.0,0.221,78.0,12,2,16.67,4.66 (4.15-5.16),10,83.33,3.03 (1.75-4.32),1.64,6.12
astrocytes 5,328.0,0.067,3.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628.0,0.092,4.0,164,6,3.66,3.17 (1.32-5.02),158,96.34,4.11 (3.78-4.44),4.66,7.64
GABA neurons expressing GLU receptors 22,1069.0,0.064,2.0,37,6,16.22,2.36 (1.87-2.85),31,83.78,2.11 (1.56-2.66),2.42,3.23
GLU like neurons 17,637.0,0.153,48.0,91,14,15.38,1.85 (0.67-3.03),77,84.62,5.18 (4.75-5.62),3.05,3.06
da like neurons 11,408.0,0.072,7.0,25,9,36.0,1.82 (0.87-2.77),16,64.0,6.90 (5.94-7.86),2.15,2.35
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.081,12.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58),2.42,4.30
oligodendrocytes 20,358.0,0.183,63.0,31,4,12.9,3.29 (2.72-3.86),27,87.1,2.25 (1.79-2.72),1.74,4.14
GABA like neurons 14,2402.0,0.191,38.0,455,48,10.55,2.22 (1.85-2.59),407,89.45,4.65 (4.46-4.83),18.24,7.73
astrocytes 8,727.0,0.055,14.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90),4.08,3.53
oligodendrocyte progenitor cells 12,1049.0,0.128,67.0,235,16,6.81,3.22 (2.71-3.73),219,93.19,3.86 (3.62-4.11),10.36,7.41
oligodendrocytes 10,2107.0,0.194,67.0,358,94,26.26,2.47 (2.19-2.74),264,73.74,4.59 (4.41-4.77),20.06,5.70
connective tissue cells 21,111.0,0.204,10.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1768.0,0.179,98.0,105,34,32.38,2.26 (1.79-2.73),71,67.62,3.70 (3.30-4.10),5.73,3.14
oligodendrocytes 16,156.0,0.163,23.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,190.0,0.233,28.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,752.0,0.094,1.0,96,17,17.71,2.88 (2.44-3.32),79,82.29,3.41 (3.01-3.81),2.65,4.68
oligodendrocytes 0,613.0,0.052,1.0,127,27,21.26,2.60 (2.23-2.97),100,78.74,3.26 (2.68-3.83),3.36,7.06
microglia 1,406.0,0.067,2.0,278,1,0.36,5.39 (NA-NA),277,99.64,4.36 (4.08-4.63),2.31,6.75
oligodendrocytes 3,681.0,0.055,11.0,87,56,64.37,2.23 (1.98-2.48),31,35.63,3.36 (2.79-3.93),5.00,2.87
oligodendrocytes 2,526.0,0.078,2.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
