tipo_celular,module_size,NSUN2_MM,NSUN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.182,57.0,47,1,2.13,5.72 (NA-NA),46,97.87,2.50 (2.03-2.97),1.41,4.22
T cells 18,610.0,0.149,49.0,98,35,35.71,2.02 (1.64-2.40),63,64.29,3.85 (3.50-4.19),6.38,2.74
astrocytes 5,1656.0,0.106,35.0,136,10,7.35,2.74 (1.67-3.81),126,92.65,3.25 (2.97-3.53),6.56,4.86
oligodendrocyte progenitor cells 7,666.0,0.12,16.0,127,13,10.24,2.60 (1.41-3.79),114,89.76,3.98 (3.64-4.32),3.97,6.05
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,229.0,0.046,4.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,137.0,0.075,4.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.051,1.0,141,7,4.96,2.56 (1.02-4.10),134,95.04,2.98 (2.75-3.22),4.53,6.94
oligodendrocytes 20,330.0,0.297,86.0,36,16,44.44,2.06 (1.76-2.36),20,55.56,1.79 (1.19-2.40),2.52,3.62
GABA like neurons 14,3052.0,0.121,35.0,125,7,5.6,4.99 (4.18-5.80),118,94.4,3.23 (2.90-3.56),2.38,8.98
astrocytes 8,577.0,0.062,29.0,83,5,6.02,2.03 (1.33-2.74),78,93.98,3.35 (2.88-3.82),2.50,4.60
oligodendrocyte progenitor cells 12,3303.0,0.072,41.0,276,54,19.57,2.54 (2.18-2.91),222,80.43,3.89 (3.64-4.13),10.12,3.89
oligodendrocytes 10,2107.0,0.153,52.0,358,83,23.18,2.96 (2.54-3.37),275,76.82,4.24 (4.05-4.43),20.64,6.10
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.031,3.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,81.0,0.271,85.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,115.0,0.31,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.142,45.0,104,31,29.81,2.09 (1.69-2.48),73,70.19,3.23 (2.90-3.57),9.64,3.60
oligodendrocytes 0,2078.0,0.139,92.0,238,30,12.61,4.24 (3.61-4.87),208,87.39,3.53 (3.30-3.76),6.06,4.87
microglia 1,813.0,0.096,24.0,79,8,10.13,5.57 (4.48-6.66),71,89.87,2.88 (2.49-3.26),3.05,8.45
oligodendrocytes 3,639.0,0.073,29.0,15,6,40.0,1.20 (0.31-2.09),9,60.0,5.12 (3.78-6.47),2.69,1.90
oligodendrocytes 2,1630.0,0.151,68.0,154,5,3.25,3.79 (1.81-5.78),149,96.75,3.23 (2.96-3.50),2.46,3.63
