tipo_celular,module_size,CSRNP3_MM,CSRNP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.276,93.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,436.0,0.179,75.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50),NA,4.61
GABA neurons expressing GLU receptors 22,459.0,0.089,14.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51),3.19,4.11
GLU like neurons 17,489.0,0.16,61.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,132.0,0.464,97.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,238.0,0.231,77.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.024,3.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,1300.0,0.15,23.0,306,4,1.31,0.73 (0.37-1.08),302,98.69,5.18 (4.92-5.43),6.68,6.71
astrocytes 8,520.0,0.055,16.0,288,1,0.35,0.55 (NA-NA),287,99.65,4.19 (3.99-4.39),3.91,4.69
oligodendrocyte progenitor cells 12,254.0,0.405,85.0,37,1,2.7,2.31 (NA-NA),36,97.3,4.57 (3.99-5.15),1.77,2.49
oligodendrocytes 10,806.0,0.271,75.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,338.0,0.144,47.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,91.0,0.14,7.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,553.0,0.302,97.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,54.0,0.284,21.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.185,92.0,96,10,10.42,2.36 (1.97-2.75),86,89.58,3.43 (3.07-3.79),2.43,4.54
oligodendrocytes 0,309.0,0.209,87.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.102,55.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53),3.72,1.84
oligodendrocytes 2,804.0,0.147,45.0,84,2,2.38,0.51 (-0.09-1.11),82,97.62,2.76 (2.42-3.09),3.31,3.40
