tipo_celular,module_size,OSBPL8_MM,OSBPL8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.192,57.0,73,7,9.59,4.05 (3.66-4.44),66,90.41,3.50 (3.11-3.88),2.44,3.30
T cells 18,388,0.242,84.0,84,2,2.38,3.65 (3.57-3.74),82,97.62,2.96 (2.62-3.29),1.61,4.39
astrocytes 5,1141,0.141,64.0,166,7,4.22,0.93 (0.27-1.59),159,95.78,3.50 (3.26-3.75),4.00,4.57
oligodendrocyte progenitor cells 7,4285,0.17,93.0,353,20,5.67,1.87 (1.12-2.61),333,94.33,4.05 (3.87-4.23),29.33,6.79
GABA neurons expressing GLU receptors 22,400,0.148,21.0,24,9,37.5,1.34 (0.47-2.21),15,62.5,2.65 (2.15-3.14),5.34,2.53
GLU like neurons 17,795,0.098,28.0,80,1,1.25,2.43 (NA-NA),79,98.75,5.74 (5.34-6.14),4.06,3.00
da like neurons 11,265,0.355,95.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,90,0.148,40.0,4,2,50.0,2.99 (1.51-4.47),2,50.0,7.70 (7.70-7.70),2.07,1.61
endothelial cells 9,586,0.137,32.0,62,3,4.84,4.31 (2.00-6.62),59,95.16,4.03 (3.57-4.49),1.72,4.33
oligodendrocytes 20,938,0.104,39.0,169,5,2.96,2.09 (0.62-3.57),164,97.04,3.53 (3.32-3.75),4.73,5.38
GABA like neurons 14,1300,0.162,28.0,306,26,8.5,2.59 (2.10-3.08),280,91.5,5.44 (5.18-5.69),4.91,6.87
astrocytes 8,260,0.148,62.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303,0.097,72.0,276,19,6.88,2.57 (1.83-3.32),257,93.12,3.64 (3.41-3.86),7.05,4.97
oligodendrocytes 10,2107,0.171,59.0,358,20,5.59,1.24 (0.80-1.68),338,94.41,4.07 (3.89-4.26),26.17,8.48
connective tissue cells 21,126,0.3,60.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79),3.29,1.65
astrocytes 15,208,0.044,20.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,108,0.145,25.0,5,1,20.0,2.46 (NA-NA),4,80.0,4.35 (3.43-5.27),1.55,2.78
da neurons 6,553,0.101,29.0,124,4,3.23,2.83 (1.23-4.42),120,96.77,4.25 (3.85-4.65),2.76,3.04
astrocytes microglia 23,122,0.243,15.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,787,0.122,9.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186,0.16,75.0,300,9,3.0,3.20 (2.67-3.73),291,97.0,3.81 (3.60-4.02),4.86,4.13
microglia 1,346,0.115,25.0,43,5,11.63,4.38 (3.47-5.29),38,88.37,3.71 (3.17-4.26),3.76,4.58
oligodendrocytes 3,1003,0.095,50.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921,0.12,22.0,200,2,1.0,2.12 (1.88-2.35),198,99.0,3.64 (3.37-3.91),1.84,3.48
