tipo_celular,module_size,PIK3IP1_MM,PIK3IP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.149,44.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,518.0,0.151,47.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656.0,0.075,4.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.102,11.0,353,8,2.27,1.96 (1.11-2.81),345,97.73,3.94 (3.75-4.13),11.60,7.98
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,253.0,0.194,68.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402.0,0.296,65.0,455,4,0.88,2.92 (0.59-5.26),451,99.12,4.35 (4.17-4.54),8.96,8.83
astrocytes 8,603.0,0.049,21.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,254.0,0.07,17.0,37,6,16.22,2.96 (2.49-3.43),31,83.78,4.86 (4.23-5.50),2.70,2.43
oligodendrocytes 10,483.0,0.043,8.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81),8.17,19.36
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.06,24.0,105,7,6.67,1.96 (1.11-2.81),98,93.33,3.31 (2.96-3.66),4.78,3.92
oligodendrocytes 16,82.0,0.272,82.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.257,15.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.122,14.0,104,5,4.81,1.69 (0.56-2.82),99,95.19,2.93 (2.64-3.21),6.65,5.33
oligodendrocytes 0,2078.0,0.121,64.0,238,3,1.26,1.98 (0.20-3.77),235,98.74,3.66 (3.44-3.88),11.09,4.94
microglia 1,346.0,0.179,66.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,743.0,0.081,50.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.136,38.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
