tipo_celular,module_size,SKA2_MM,SKA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.188,76.0,142,10,7.04,3.86 (3.45-4.27),132,92.96,3.15 (2.87-3.44),2.89,4.40
astrocytes 5,1656.0,0.075,4.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.117,23.0,353,22,6.23,1.98 (1.44-2.53),331,93.77,4.06 (3.87-4.24),20.96,7.21
GABA neurons expressing GLU receptors 22,1069.0,0.151,40.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.059,3.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23),5.02,10.69
oligodendrocytes 20,322.0,0.036,7.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402.0,0.062,2.0,455,13,2.86,2.05 (1.10-2.99),442,97.14,4.43 (4.24-4.61),23.42,8.41
astrocytes 8,1266.0,0.058,23.0,66,17,25.76,2.23 (1.52-2.95),49,74.24,3.65 (3.19-4.11),3.74,2.68
oligodendrocyte progenitor cells 12,1049.0,0.034,4.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,483.0,0.063,19.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,106.0,0.504,100.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,1768.0,0.02,1.0,105,7,6.67,1.36 (0.73-1.99),98,93.33,3.36 (3.02-3.70),5.70,3.86
oligodendrocytes 16,64.0,0.387,97.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,1.65
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,72.0,0.315,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.144,48.0,104,4,3.85,0.87 (0.13-1.61),100,96.15,2.95 (2.67-3.23),9.00,5.25
oligodendrocytes 0,2078.0,0.091,10.0,238,5,2.1,2.24 (1.03-3.46),233,97.9,3.67 (3.45-3.89),8.57,4.95
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.058,13.0,76,2,2.63,2.13 (-1.64-5.89),74,97.37,2.80 (2.47-3.13),2.20,4.79
oligodendrocytes 2,1630.0,0.111,7.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
