tipo_celular,module_size,ABCB10_MM,ABCB10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.107,14.0,102,23,22.55,1.94 (1.57-2.32),79,77.45,3.98 (3.58-4.39),3.96,2.76
T cells 18,624.0,0.115,22.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.124,63.0,136,3,2.21,1.57 (1.17-1.96),133,97.79,3.25 (2.98-3.52),8.01,4.92
oligodendrocyte progenitor cells 7,4285.0,0.123,31.0,353,28,7.93,1.64 (1.16-2.12),325,92.07,4.15 (3.97-4.32),24.52,6.65
GABA neurons expressing GLU receptors 22,714.0,0.226,72.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,1316.0,0.074,9.0,101,2,1.98,2.32 (1.92-2.72),99,98.02,3.07 (2.71-3.43),2.46,3.07
da like neurons 11,101.0,0.119,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.079,13.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,271.0,0.401,94.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,3052.0,0.107,23.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,218.0,0.028,3.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303.0,0.044,10.0,276,28,10.14,1.96 (1.64-2.28),248,89.86,3.77 (3.55-4.00),7.40,4.85
oligodendrocytes 10,2107.0,0.133,45.0,358,32,8.94,1.59 (1.25-1.93),326,91.06,4.17 (3.99-4.35),23.27,8.12
connective tissue cells 21,112.0,0.483,100.0,7,1,14.29,1.85 (NA-NA),6,85.71,1.97 (1.05-2.89),1.40,2.02
astrocytes 15,377.0,0.163,58.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,71.0,0.169,42.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,72.0,0.258,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.161,80.0,104,12,11.54,1.34 (0.87-1.80),92,88.46,3.08 (2.79-3.37),11.96,4.54
oligodendrocytes 0,2078.0,0.116,54.0,238,5,2.1,2.02 (1.10-2.94),233,97.9,3.68 (3.46-3.90),6.03,5.00
microglia 1,958.0,0.109,46.0,290,11,3.79,2.15 (1.42-2.88),279,96.21,3.90 (3.67-4.13),5.47,4.98
oligodendrocytes 3,1003.0,0.068,18.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,1630.0,0.15,68.0,154,3,1.95,2.22 (1.70-2.73),151,98.05,3.27 (3.00-3.54),3.20,3.60
