tipo_celular,module_size,HMGN1_MM,HMGN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.198,46.0,21,9,42.86,1.13 (0.54-1.72),12,57.14,3.26 (2.67-3.85),2.25,1.82
T cells 18,506.0,0.198,55.0,225,11,4.89,1.48 (1.25-1.70),214,95.11,3.77 (3.52-4.02),10.45,7.77
astrocytes 5,1656.0,0.167,99.0,136,8,5.88,2.26 (1.29-3.23),128,94.12,3.28 (3.00-3.55),6.88,4.87
oligodendrocyte progenitor cells 7,628.0,0.199,69.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,848.0,0.276,71.0,262,6,2.29,1.05 (0.54-1.55),256,97.71,4.26 (4.02-4.50),5.03,4.08
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.071,7.0,133,39,29.32,1.77 (1.49-2.05),94,70.68,4.01 (3.67-4.35),5.86,3.46
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.189,62.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,271.0,0.295,85.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402.0,0.226,49.0,455,19,4.18,1.35 (0.92-1.77),436,95.82,4.53 (4.35-4.70),20.46,8.33
astrocytes 8,603.0,0.065,40.0,89,8,8.99,1.22 (1.03-1.40),81,91.01,2.98 (2.61-3.34),5.55,6.09
oligodendrocyte progenitor cells 12,1049.0,0.175,81.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,483.0,0.315,84.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,139.0,0.293,53.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,458.0,0.083,43.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,116.0,0.207,53.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,121.0,0.281,32.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,787.0,0.138,26.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.131,84.0,238,17,7.14,2.87 (2.27-3.48),221,92.86,3.70 (3.47-3.93),5.91,4.95
microglia 1,406.0,0.134,29.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,743.0,0.078,44.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.119,13.0,154,3,1.95,3.89 (2.74-5.04),151,98.05,3.23 (2.96-3.50),3.94,3.59
