tipo_celular,module_size,NAMPT_MM,NAMPT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.626,100.0,102,31,30.39,2.24 (1.91-2.58),71,69.61,4.09 (3.64-4.53),3.85,2.68
T cells 18,624.0,0.126,28.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.2,72.0,127,19,14.96,2.33 (1.75-2.91),108,85.04,4.10 (3.75-4.45),4.14,6.14
GABA neurons expressing GLU receptors 22,400.0,0.402,97.0,24,7,29.17,0.94 (0.08-1.80),17,70.83,2.66 (2.20-3.11),6.35,2.44
GLU like neurons 17,685.0,0.214,80.0,135,27,20.0,1.86 (1.51-2.20),108,80.0,3.53 (3.19-3.87),4.20,3.64
da like neurons 11,109.0,0.115,13.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.34,85.0,120,12,10.0,3.16 (2.57-3.74),108,90.0,4.79 (4.46-5.13),4.44,3.56
oligodendrocytes 20,330.0,0.036,7.0,36,16,44.44,1.95 (1.74-2.16),20,55.56,1.90 (1.29-2.50),2.56,3.58
GABA like neurons 14,2402.0,0.124,16.0,455,36,7.91,2.45 (1.93-2.97),419,92.09,4.55 (4.36-4.73),19.55,7.91
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.092,66.0,276,45,16.3,2.16 (1.91-2.40),231,83.7,3.90 (3.66-4.14),9.42,4.27
oligodendrocytes 10,483.0,0.071,23.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81),8.17,19.36
connective tissue cells 21,152.0,0.37,88.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.244,84.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,518.0,0.085,21.0,122,13,10.66,1.28 (0.51-2.06),109,89.34,4.24 (3.86-4.62),2.20,3.64
astrocytes microglia 23,327.0,0.531,93.0,120,26,21.67,1.92 (1.50-2.34),94,78.33,4.09 (3.80-4.39),3.93,2.48
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.125,73.0,238,15,6.3,2.36 (2.01-2.72),223,93.7,3.74 (3.51-3.97),6.45,4.93
microglia 1,480.0,0.493,99.0,163,4,2.45,2.33 (2.07-2.59),159,97.55,3.75 (3.48-4.02),5.13,5.17
oligodendrocytes 3,1003.0,0.043,3.0,111,2,1.8,5.15 (0.37-9.93),109,98.2,3.26 (2.93-3.60),1.73,4.28
oligodendrocytes 2,1630.0,0.158,83.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
