tipo_celular,module_size,NOS1AP_MM,NOS1AP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.151,44.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,666.0,0.196,69.0,127,24,18.9,2.96 (2.45-3.48),103,81.1,4.17 (3.77-4.56),3.88,6.29
GABA neurons expressing GLU receptors 22,459.0,0.163,53.0,165,32,19.39,3.79 (3.19-4.39),133,80.61,5.50 (5.12-5.88),3.31,4.28
GLU like neurons 17,1316.0,0.161,79.0,101,2,1.98,2.56 (1.70-3.42),99,98.02,3.06 (2.71-3.42),2.77,3.06
da like neurons 11,142.0,0.401,87.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.134,30.0,141,7,4.96,2.66 (1.24-4.09),134,95.04,2.98 (2.74-3.22),3.98,6.97
oligodendrocytes 20,322.0,0.154,64.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.184,85.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,1266.0,0.093,61.0,66,18,27.27,1.74 (1.14-2.35),48,72.73,3.91 (3.52-4.30),3.46,2.76
oligodendrocyte progenitor cells 12,3303.0,0.116,87.0,276,37,13.41,2.09 (1.79-2.40),239,86.59,3.84 (3.61-4.07),7.89,4.68
oligodendrocytes 10,1277.0,0.094,40.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,152.0,0.429,93.0,21,2,9.52,7.00 (7.00-7.00),19,90.48,4.85 (3.34-6.35),2.43,2.20
astrocytes 15,367.0,0.138,46.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,69.0,0.196,34.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.251,8.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,161.0,0.215,69.0,45,3,6.67,6.49 (NA-NA),42,93.33,5.24 (4.60-5.88),1.72,3.21
oligodendrocytes 0,187.0,0.126,23.0,14,1,7.14,NA,13,92.86,5.53 (4.92-6.14),1.74,2.55
microglia 1,1615.0,0.166,95.0,161,36,22.36,1.91 (1.53-2.30),125,77.64,3.76 (3.48-4.04),8.37,4.58
oligodendrocytes 3,242.0,0.142,59.0,6,4,66.67,6.40 (5.12-7.67),2,33.33,5.16 (5.16-5.16),1.91,2.30
oligodendrocytes 2,804.0,0.176,74.0,84,9,10.71,1.73 (1.00-2.45),75,89.29,2.82 (2.46-3.18),2.84,3.46
