tipo_celular,module_size,TERF2_MM,TERF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.104,18.0,131,5,3.82,3.18 (2.35-4.02),126,96.18,3.07 (2.78-3.35),3.72,4.80
astrocytes 5,1656.0,0.112,44.0,136,7,5.15,2.04 (1.00-3.08),129,94.85,3.28 (3.01-3.56),6.85,4.89
oligodendrocyte progenitor cells 7,4285.0,0.114,21.0,353,75,21.25,2.38 (2.11-2.65),278,78.75,4.44 (4.25-4.62),18.11,5.35
GABA neurons expressing GLU receptors 22,703.0,0.182,47.0,23,3,13.04,1.84 (1.08-2.60),20,86.96,2.13 (1.31-2.95),2.39,4.16
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.071,8.0,297,18,6.06,3.82 (3.16-4.47),279,93.94,3.66 (3.45-3.88),4.83,5.56
oligodendrocytes 20,938.0,0.039,7.0,169,11,6.51,2.59 (1.58-3.59),158,93.49,3.55 (3.33-3.77),2.68,5.55
GABA like neurons 14,2402.0,0.07,3.0,455,31,6.81,2.03 (1.56-2.50),424,93.19,4.58 (4.40-4.76),17.65,8.19
astrocytes 8,1266.0,0.057,22.0,66,26,39.39,2.13 (1.68-2.58),40,60.61,4.15 (3.67-4.62),3.59,2.53
oligodendrocyte progenitor cells 12,3303.0,0.075,45.0,276,53,19.2,2.30 (2.01-2.59),223,80.8,3.95 (3.71-4.19),9.39,4.09
oligodendrocytes 10,483.0,0.048,9.0,129,1,0.78,5.16 (NA-NA),128,99.22,3.41 (3.02-3.80),3.80,19.31
connective tissue cells 21,82.0,0.371,88.0,19,18,94.74,7.57 (7.32-7.82),1,5.26,NA,1.87,1.46
astrocytes 15,1768.0,0.053,17.0,105,29,27.62,1.92 (1.56-2.28),76,72.38,3.74 (3.35-4.12),5.84,3.27
oligodendrocytes 16,82.0,0.24,70.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,83.0,0.497,99.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.165,85.0,104,29,27.88,1.82 (1.45-2.19),75,72.12,3.29 (2.98-3.61),10.63,3.38
oligodendrocytes 0,2078.0,0.113,47.0,238,16,6.72,2.71 (2.18-3.24),222,93.28,3.72 (3.48-3.95),5.57,4.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.058,11.0,111,5,4.5,5.49 (3.74-7.23),106,95.5,3.19 (2.85-3.53),1.83,4.34
oligodendrocytes 2,1630.0,0.131,29.0,154,4,2.6,3.23 (2.85-3.60),150,97.4,3.25 (2.97-3.52),2.21,3.63
