tipo_celular,module_size,LIMS1_MM,LIMS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.225,48.0,140,23,16.43,4.65 (3.81-5.49),117,83.57,4.54 (4.24-4.83),4.01,3.45
T cells 18,624.0,0.227,91.0,142,1,0.7,4.27 (NA-NA),141,99.3,3.20 (2.93-3.47),1.62,4.32
astrocytes 5,423.0,0.174,65.0,80,4,5.0,3.37 (1.09-5.65),76,95.0,3.40 (2.92-3.89),2.62,5.15
oligodendrocyte progenitor cells 7,666.0,0.181,62.0,127,25,19.69,3.06 (2.52-3.61),102,80.31,4.11 (3.72-4.51),3.86,6.32
GABA neurons expressing GLU receptors 22,599.0,0.332,92.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,685.0,0.159,64.0,135,39,28.89,2.52 (2.09-2.95),96,71.11,3.46 (3.08-3.84),3.99,3.65
da like neurons 11,120.0,0.288,64.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.15,67.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,279.0,0.243,61.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09),1.81,3.59
GABA like neurons 14,3052.0,0.147,57.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577.0,0.184,89.0,83,6,7.23,2.74 (1.26-4.22),77,92.77,3.29 (2.82-3.76),2.04,4.66
oligodendrocyte progenitor cells 12,3303.0,0.07,39.0,276,36,13.04,2.09 (1.78-2.39),240,86.96,3.84 (3.61-4.07),6.31,4.93
oligodendrocytes 10,2107.0,0.325,92.0,358,56,15.64,2.32 (2.02-2.62),302,84.36,4.26 (4.07-4.46),17.04,8.07
connective tissue cells 21,93.0,0.312,68.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,261.0,0.094,19.0,8,3,37.5,2.68 (0.27-5.09),5,62.5,4.43 (1.28-7.57),1.62,1.96
oligodendrocytes 16,91.0,0.183,32.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,327.0,0.291,35.0,120,50,41.67,3.23 (2.75-3.72),70,58.33,3.93 (3.57-4.29),3.18,2.52
astrocytes 4,514.0,0.243,74.0,95,7,7.37,1.30 (0.81-1.78),88,92.63,3.52 (3.09-3.95),2.74,4.79
oligodendrocytes 0,1186.0,0.131,30.0,300,19,6.33,3.60 (3.20-3.99),281,93.67,3.81 (3.59-4.03),5.03,4.10
microglia 1,480.0,0.101,6.0,163,30,18.4,4.17 (3.64-4.70),133,81.6,3.61 (3.31-3.91),3.64,5.51
oligodendrocytes 3,1003.0,0.088,42.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,921.0,0.147,67.0,200,6,3.0,3.04 (1.93-4.16),194,97.0,3.64 (3.37-3.92),3.01,3.48
