tipo_celular,module_size,PFKL_MM,PFKL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.133,25.0,73,3,4.11,3.97 (3.78-4.16),70,95.89,3.54 (3.18-3.91),2.43,3.25
T cells 18,282.0,0.075,7.0,241,53,21.99,4.58 (4.03-5.12),188,78.01,3.93 (3.65-4.21),3.72,4.51
astrocytes 5,932.0,0.114,57.0,80,14,17.5,5.89 (4.64-7.15),66,82.5,3.41 (3.03-3.80),1.65,4.87
oligodendrocyte progenitor cells 7,4285.0,0.076,2.0,353,38,10.76,2.23 (1.79-2.67),315,89.24,4.15 (3.97-4.33),24.12,6.13
GABA neurons expressing GLU receptors 22,599.0,0.259,73.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08),1.72,4.17
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.141,44.0,155,2,1.29,2.86 (NA-NA),153,98.71,4.35 (3.99-4.72),2.47,4.35
oligodendrocytes 20,938.0,0.132,52.0,169,33,19.53,3.40 (2.95-3.85),136,80.47,3.50 (3.25-3.74),5.42,5.35
GABA like neurons 14,2090.0,0.099,13.0,74,3,4.05,2.39 (1.37-3.41),71,95.95,2.97 (2.58-3.36),3.52,10.79
astrocytes 8,603.0,0.097,63.0,89,3,3.37,1.00 (0.76-1.24),86,96.63,2.85 (2.49-3.20),7.15,6.00
oligodendrocyte progenitor cells 12,218.0,0.078,29.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA,2.31,NA
oligodendrocytes 10,483.0,0.126,53.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81),8.17,19.36
connective tissue cells 21,118.0,0.32,56.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,377.0,0.072,8.0,14,5,35.71,0.80 (0.19-1.40),9,64.29,3.03 (1.31-4.75),2.52,2.42
oligodendrocytes 16,156.0,0.277,88.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,448.0,0.098,45.0,43,1,2.33,3.17 (NA-NA),42,97.67,3.28 (2.75-3.82),1.72,3.51
astrocytes microglia 23,127.0,0.233,16.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,721.0,0.152,50.0,61,1,1.64,4.07 (NA-NA),60,98.36,2.95 (2.53-3.36),1.34,6.10
oligodendrocytes 0,187.0,0.074,2.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,127.0,0.043,0.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87),NA,2.47
oligodendrocytes 3,242.0,0.056,6.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,526.0,0.128,8.0,213,15,7.04,3.91 (3.80-4.03),198,92.96,3.99 (3.68-4.29),7.22,7.99
