tipo_celular,module_size,AASDHPPT_MM,AASDHPPT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.19,78.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.142,34.0,164,2,1.22,4.11 (3.81-4.41),162,98.78,4.08 (3.75-4.42),8.00,7.52
GABA neurons expressing GLU receptors 22,487.0,0.376,89.0,73,3,4.11,1.40 (1.32-1.48),70,95.89,2.82 (2.43-3.22),2.07,7.55
GLU like neurons 17,1316.0,0.115,43.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,1220.0,0.216,62.0,410,12,2.93,3.20 (2.24-4.16),398,97.07,4.28 (4.09-4.47),19.89,7.14
GABA neurons expressing GABA receptors 13,70.0,0.206,74.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,338.0,0.09,25.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,221.0,0.174,40.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2402.0,0.346,73.0,455,20,4.4,1.86 (1.11-2.62),435,95.6,4.47 (4.29-4.65),24.82,8.10
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.049,14.0,276,13,4.71,1.75 (1.18-2.33),263,95.29,3.65 (3.43-3.87),11.79,4.78
oligodendrocytes 10,806.0,0.19,60.0,261,5,1.92,3.18 (NA-NA),256,98.08,4.37 (4.13-4.61),8.58,6.02
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.228,58.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.1,19.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,122.0,0.369,85.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.147,97.0,238,3,1.26,1.80 (0.23-3.37),235,98.74,3.66 (3.44-3.88),10.05,4.96
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.09,62.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921.0,0.177,94.0,200,2,1.0,1.64 (1.01-2.27),198,99.0,3.65 (3.38-3.91),5.80,3.44
