tipo_celular,module_size,FMN2_MM,FMN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.191,77.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,200.0,0.167,42.0,16,1,6.25,2.43 (NA-NA),15,93.75,4.04 (3.20-4.89),1.63,4.46
GABA neurons expressing GLU receptors 22,459.0,0.193,64.0,165,9,5.45,2.38 (1.58-3.17),156,94.55,5.30 (4.96-5.63),4.76,4.05
GLU like neurons 17,1247.0,0.141,56.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,101.0,0.486,98.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.198,46.0,306,32,10.46,3.11 (2.48-3.74),274,89.54,5.43 (5.17-5.69),5.48,6.85
astrocytes 8,1266.0,0.299,99.0,66,25,37.88,2.06 (1.56-2.55),41,62.12,4.14 (3.72-4.57),3.56,2.58
oligodendrocyte progenitor cells 12,138.0,0.488,65.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.112,51.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17),4.84,2.98
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.308,59.0,7,1,14.29,2.43 (NA-NA),6,85.71,4.63 (3.80-5.46),2.20,4.88
astrocytes 4,161.0,0.212,67.0,45,2,4.44,7.00 (NA-NA),43,95.56,5.22 (4.59-5.86),2.56,3.13
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
