tipo_celular,module_size,HEY2_MM,HEY2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.121,59.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.333,72.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58),2.42,4.30
oligodendrocytes 20,403.0,0.038,7.0,18,10,55.56,0.95 (0.48-1.41),8,44.44,3.04 (2.13-3.95),4.74,2.61
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,262.0,0.066,13.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.121,58.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,114.0,0.086,0.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10),2.82,1.99
astrocytes 15,1768.0,0.089,52.0,105,18,17.14,1.48 (1.14-1.81),87,82.86,3.61 (3.26-3.96),7.32,3.29
oligodendrocytes 16,84.0,0.285,92.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,61.0,0.48,99.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.117,10.0,104,24,23.08,1.57 (1.25-1.90),80,76.92,3.29 (2.99-3.59),11.36,3.61
oligodendrocytes 0,1186.0,0.122,19.0,300,23,7.67,3.61 (3.27-3.96),277,92.33,3.81 (3.59-4.04),4.94,4.09
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.117,69.0,87,58,66.67,2.38 (2.09-2.66),29,33.33,3.04 (2.47-3.61),4.76,3.21
oligodendrocytes 2,1630.0,0.165,91.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
