tipo_celular,module_size,BCAR1_MM,BCAR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.076,2.0,80,9,11.25,5.22 (3.85-6.59),71,88.75,3.16 (2.68-3.64),2.37,5.35
oligodendrocyte progenitor cells 7,4285.0,0.114,22.0,353,10,2.83,1.46 (0.75-2.17),343,97.17,3.97 (3.79-4.16),22.67,7.64
GABA neurons expressing GLU receptors 22,400.0,0.183,40.0,24,3,12.5,1.58 (-0.37-3.52),21,87.5,2.24 (1.71-2.77),8.87,2.83
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,215.0,0.108,17.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.125,25.0,141,7,4.96,2.87 (1.33-4.40),134,95.04,2.97 (2.73-3.21),4.13,6.96
oligodendrocytes 20,322.0,0.069,23.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52),1.43,5.54
GABA like neurons 14,2090.0,0.179,67.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,577.0,0.055,23.0,83,4,4.82,4.28 (1.74-6.82),79,95.18,3.19 (2.74-3.64),1.81,4.61
oligodendrocyte progenitor cells 12,708.0,0.21,76.0,32,8,25.0,2.39 (0.87-3.91),24,75.0,3.43 (2.51-4.35),3.13,2.42
oligodendrocytes 10,806.0,0.062,11.0,261,5,1.92,3.52 (2.38-4.67),256,98.08,4.39 (4.14-4.63),6.63,6.05
connective tissue cells 21,103.0,0.371,88.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,1401.0,0.038,7.0,96,12,12.5,4.12 (3.12-5.12),84,87.5,3.54 (3.05-4.03),4.31,3.72
oligodendrocytes 16,105.0,0.194,38.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.391,81.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,514.0,0.146,24.0,95,5,5.26,1.16 (0.64-1.68),90,94.74,3.50 (3.07-3.92),3.16,4.72
oligodendrocytes 0,2078.0,0.146,97.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88),9.83,4.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.074,26.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921.0,0.102,7.0,200,5,2.5,6.69 (6.14-7.25),195,97.5,3.54 (3.28-3.81),2.86,3.48
