tipo_celular,module_size,MRE11_MM,MRE11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.235,65.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,282.0,0.142,42.0,241,6,2.49,4.17 (3.01-5.34),235,97.51,4.05 (3.79-4.31),2.67,4.38
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.134,48.0,353,65,18.41,2.34 (1.97-2.70),288,81.59,4.33 (4.15-4.51),20.12,5.34
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1316.0,0.112,40.0,101,3,2.97,2.82 (2.53-3.11),98,97.03,3.06 (2.70-3.42),2.87,3.06
da like neurons 11,204.0,0.082,11.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.1,27.0,297,27,9.09,3.98 (3.46-4.49),270,90.91,3.64 (3.42-3.86),4.61,5.61
oligodendrocytes 20,403.0,0.178,70.0,18,11,61.11,1.09 (0.59-1.60),7,38.89,3.11 (2.07-4.15),4.45,2.76
GABA like neurons 14,3052.0,0.084,10.0,125,5,4.0,3.60 (2.58-4.63),120,96.0,3.34 (3.01-3.68),3.38,8.83
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.039,7.0,276,51,18.48,2.29 (1.99-2.59),225,81.52,3.91 (3.67-4.15),9.87,4.03
oligodendrocytes 10,2107.0,0.173,60.0,358,84,23.46,2.54 (2.22-2.86),274,76.54,4.43 (4.25-4.62),19.03,6.54
connective tissue cells 21,112.0,0.176,22.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06),1.66,2.04
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,90.0,0.293,95.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.306,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.141,94.0,238,15,6.3,3.18 (2.35-4.01),223,93.7,3.67 (3.44-3.90),5.95,4.96
microglia 1,1615.0,0.118,62.0,161,56,34.78,2.38 (1.98-2.79),105,65.22,3.89 (3.60-4.18),9.18,3.43
oligodendrocytes 3,1003.0,0.082,35.0,111,2,1.8,3.44 (2.01-4.87),109,98.2,3.30 (2.95-3.65),1.77,4.28
oligodendrocytes 2,1630.0,0.138,43.0,154,3,1.95,3.09 (2.71-3.48),151,98.05,3.25 (2.98-3.52),2.45,3.61
