tipo_celular,module_size,RNF157_MM,RNF157_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,477.0,0.218,81.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,932.0,0.102,40.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.147,69.0,353,26,7.37,2.44 (1.81-3.08),327,92.63,4.01 (3.82-4.20),18.07,7.27
GABA neurons expressing GLU receptors 22,823.0,0.235,82.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24),1.97,3.73
GLU like neurons 17,1247.0,0.231,91.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.333,99.0,133,8,6.02,1.86 (1.00-2.72),125,93.98,3.36 (3.04-3.68),4.43,4.14
GABA neurons expressing GABA receptors 13,266.0,0.234,81.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,298.0,0.134,48.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,1300.0,0.214,54.0,306,42,13.73,4.53 (3.73-5.33),264,86.27,5.22 (4.95-5.48),13.22,5.67
astrocytes 8,1266.0,0.128,81.0,66,16,24.24,3.17 (2.34-4.00),50,75.76,3.25 (2.76-3.74),2.69,3.03
oligodendrocyte progenitor cells 12,3303.0,0.075,45.0,276,20,7.25,2.59 (1.81-3.38),256,92.75,3.61 (3.39-3.84),9.95,4.73
oligodendrocytes 10,806.0,0.191,61.0,261,13,4.98,6.16 (5.19-7.13),248,95.02,4.24 (4.00-4.48),3.70,6.19
connective tissue cells 21,111.0,0.395,89.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,1401.0,0.117,75.0,96,6,6.25,3.29 (2.41-4.17),90,93.75,3.64 (3.16-4.12),3.43,3.82
oligodendrocytes 16,121.0,0.24,67.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,553.0,0.22,88.0,124,9,7.26,3.99 (3.05-4.93),115,92.74,4.20 (3.78-4.61),3.01,3.03
astrocytes microglia 23,39.0,0.209,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.11,6.0,95,3,3.16,0.90 (0.75-1.04),92,96.84,3.48 (3.05-3.90),3.47,4.68
oligodendrocytes 0,187.0,0.131,26.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.065,19.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14),4.05,4.75
oligodendrocytes 2,407.0,0.13,22.0,122,8,6.56,1.27 (0.66-1.88),114,93.44,3.52 (3.12-3.91),3.30,2.66
