tipo_celular,module_size,FSTL5_MM,FSTL5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.13,49.0,166,2,1.2,0.38 (0.04-0.71),164,98.8,3.44 (3.19-3.68),2.58,4.57
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,714.0,0.453,99.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,795.0,0.419,99.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,87.0,0.341,63.0,3,0,0.0,NA,3,100.0,NA,NA,1.68
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,279.0,0.258,67.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,1300.0,0.177,35.0,306,15,4.9,2.23 (1.69-2.78),291,95.1,5.32 (5.06-5.57),6.01,6.74
astrocytes 8,727.0,0.283,99.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.112,53.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.093,55.0,105,3,2.86,0.90 (-0.14-1.94),102,97.14,3.29 (2.95-3.62),5.54,3.93
oligodendrocytes 16,149.0,0.402,92.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.301,53.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59),NA,3.21
astrocytes 4,220.0,0.327,99.0,63,3,4.76,2.95 (2.58-3.31),60,95.24,5.27 (4.70-5.85),6.11,3.15
oligodendrocytes 0,117.0,0.06,1.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88),NA,2.12
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.24,86.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,347.0,0.403,98.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
