tipo_celular,module_size,MRPS35_MM,MRPS35_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.151,73.0,353,29,8.22,1.41 (1.11-1.71),324,91.78,4.19 (4.01-4.36),28.81,6.21
GABA neurons expressing GLU receptors 22,714.0,0.187,53.0,17,3,17.65,2.29 (2.29-2.29),14,82.35,2.31 (1.60-3.03),2.53,3.79
GLU like neurons 17,795.0,0.11,38.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,265.0,0.2,56.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,228.0,0.256,69.0,5,1,20.0,0.26 (NA-NA),4,80.0,4.00 (1.97-6.04),2.19,2.53
GABA like neurons 14,2090.0,0.112,21.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.041,8.0,32,6,18.75,0.64 (0.20-1.08),26,81.25,3.96 (3.16-4.75),4.13,2.24
oligodendrocytes 10,483.0,0.077,28.0,129,6,4.65,3.40 (2.68-4.13),123,95.35,3.43 (3.02-3.84),52.73,17.55
connective tissue cells 21,90.0,0.412,95.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA,1.41,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.356,98.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,228.0,0.07,14.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,96.0,0.347,67.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.096,16.0,238,2,0.84,1.66 (-1.19-4.52),236,99.16,3.66 (3.44-3.88),9.53,4.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.068,23.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,1630.0,0.116,10.0,154,4,2.6,2.45 (1.87-3.04),150,97.4,3.27 (3.00-3.54),4.23,3.58
