tipo_celular,module_size,C11orf65_MM,C11orf65_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172.0,0.101,13.0,140,3,2.14,3.52 (0.60-6.43),137,97.86,4.54 (4.11-4.97),2.31,3.60
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.143,39.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285.0,0.105,13.0,353,28,7.93,2.17 (1.67-2.67),325,92.07,4.09 (3.90-4.27),21.47,6.91
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,298.0,0.032,3.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,771.0,0.026,1.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,3303.0,0.058,23.0,276,12,4.35,2.41 (1.63-3.18),264,95.65,3.61 (3.39-3.83),6.42,5.05
oligodendrocytes 10,1277.0,0.119,57.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,112.0,0.138,10.0,7,0,0.0,NA,7,100.0,1.95 (1.17-2.73),NA,1.93
astrocytes 15,1768.0,0.056,19.0,105,13,12.38,2.22 (1.60-2.84),92,87.62,3.37 (3.00-3.73),3.41,4.06
oligodendrocytes 16,75.0,0.227,75.0,1,0,0.0,NA,1,100.0,NA,NA,1.70
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,109.0,0.264,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.117,10.0,104,8,7.69,2.32 (1.09-3.55),96,92.31,2.91 (2.63-3.20),9.28,5.07
oligodendrocytes 0,479.0,0.121,23.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,1615.0,0.098,32.0,161,14,8.7,1.40 (0.76-2.05),147,91.3,3.49 (3.23-3.76),11.98,4.81
oligodendrocytes 3,639.0,0.083,39.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,1630.0,0.128,24.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53),4.07,3.59
