tipo_celular,module_size,ITGB4_MM,ITGB4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.143,43.0,28,6,21.43,3.71 (2.32-5.10),22,78.57,5.81 (5.36-6.26),2.03,2.52
oligodendrocyte progenitor cells 7,200.0,0.183,53.0,16,4,25.0,2.53 (2.34-2.73),12,75.0,4.16 (3.27-5.04),1.73,5.14
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,1266.0,0.189,94.0,66,16,24.24,1.53 (1.03-2.02),50,75.76,3.89 (3.50-4.28),3.91,2.64
oligodendrocyte progenitor cells 12,3303.0,0.089,62.0,276,20,7.25,1.99 (1.54-2.43),256,92.75,3.70 (3.47-3.92),12.63,4.52
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.056,18.0,105,16,15.24,2.19 (1.37-3.02),89,84.76,3.41 (3.06-3.77),7.61,3.33
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,190.0,0.249,38.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,171.0,0.128,18.0,22,4,18.18,5.49 (2.52-8.46),18,81.82,4.34 (3.39-5.29),2.15,1.98
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
