tipo_celular,module_size,PAQR3_MM,PAQR3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.389,98.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.134,80.0,136,2,1.47,2.64 (1.31-3.96),134,98.53,3.22 (2.94-3.49),3.83,5.01
oligodendrocyte progenitor cells 7,666.0,0.119,16.0,127,34,26.77,4.07 (3.42-4.72),93,73.23,3.70 (3.32-4.09),3.31,6.76
GABA neurons expressing GLU receptors 22,703.0,0.157,33.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,380.0,0.163,43.0,39,2,5.13,2.93 (0.60-5.26),37,94.87,2.97 (2.39-3.54),2.47,2.57
da like neurons 11,140.0,0.078,4.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.137,34.0,36,4,11.11,2.15 (1.01-3.30),32,88.89,1.89 (1.52-2.26),2.14,3.25
GABA like neurons 14,3052.0,0.178,82.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,727.0,0.159,77.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,708.0,0.066,26.0,32,15,46.88,1.93 (1.29-2.57),17,53.12,4.77 (3.66-5.88),3.15,2.11
oligodendrocytes 10,2107.0,0.056,7.0,358,35,9.78,1.88 (1.46-2.30),323,90.22,4.14 (3.96-4.33),21.10,8.21
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458.0,0.077,39.0,36,3,8.33,7.59 (NA-NA),33,91.67,3.60 (2.52-4.68),1.92,2.63
oligodendrocytes 16,92.0,0.262,82.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,112.0,0.294,37.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.14,21.0,95,6,6.32,1.95 (0.62-3.28),89,93.68,3.50 (3.07-3.93),2.88,4.76
oligodendrocytes 0,2078.0,0.12,63.0,238,7,2.94,2.73 (1.80-3.66),231,97.06,3.67 (3.44-3.89),5.28,5.01
microglia 1,406.0,0.113,22.0,278,1,0.36,5.15 (NA-NA),277,99.64,4.36 (4.08-4.63),2.60,6.75
oligodendrocytes 3,854.0,0.092,52.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14),4.05,4.75
oligodendrocytes 2,1630.0,0.163,88.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
