tipo_celular,module_size,OSBPL6_MM,OSBPL6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.188,72.0,80,4,5.0,4.78 (4.78-4.78),76,95.0,3.34 (2.85-3.83),1.99,5.18
oligodendrocyte progenitor cells 7,666.0,0.161,46.0,127,7,5.51,2.60 (1.39-3.82),120,94.49,3.94 (3.60-4.28),3.95,5.95
GABA neurons expressing GLU receptors 22,459.0,0.274,84.0,165,4,2.42,1.68 (0.71-2.65),161,97.58,5.19 (4.85-5.52),4.48,4.08
GLU like neurons 17,1247.0,0.199,83.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,132.0,0.461,96.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,266.0,0.202,71.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.123,14.0,306,13,4.25,2.00 (1.36-2.63),293,95.75,5.28 (5.03-5.54),4.12,6.82
astrocytes 8,577.0,0.154,82.0,83,4,4.82,2.35 (-0.55-5.24),79,95.18,3.28 (2.82-3.73),1.74,4.61
oligodendrocyte progenitor cells 12,218.0,0.34,70.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.116,76.0,105,15,14.29,2.04 (1.38-2.71),90,85.71,3.43 (3.07-3.79),4.46,3.90
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,141.0,0.233,43.0,30,1,3.33,2.00 (NA-NA),29,96.67,5.84 (4.98-6.70),1.47,4.13
astrocytes 4,514.0,0.17,43.0,95,7,7.37,3.37 (1.79-4.96),88,92.63,3.37 (2.93-3.81),2.21,4.83
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.128,75.0,161,16,9.94,1.18 (0.62-1.74),145,90.06,3.56 (3.31-3.82),13.62,4.53
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
