tipo_celular,module_size,UFM1_MM,UFM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.189,75.0,71,6,8.45,3.74 (1.81-5.66),65,91.55,2.50 (2.10-2.90),1.78,3.74
T cells 18,624.0,0.072,4.0,142,2,1.41,4.52 (4.52-4.52),140,98.59,3.19 (2.92-3.46),4.74,4.29
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.133,47.0,353,46,13.03,2.89 (2.35-3.43),307,86.97,4.08 (3.89-4.26),20.00,6.28
GABA neurons expressing GLU receptors 22,1069.0,0.263,96.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,795.0,0.062,6.0,80,1,1.25,4.37 (NA-NA),79,98.75,5.70 (5.29-6.12),3.70,3.01
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.126,68.0,275,37,13.45,2.79 (2.21-3.36),238,86.55,4.21 (3.94-4.49),6.75,5.75
oligodendrocytes 20,271.0,0.173,51.0,8,2,25.0,5.98 (5.98-5.98),6,75.0,2.50 (1.33-3.67),1.98,3.90
GABA like neurons 14,2402.0,0.158,27.0,455,40,8.79,3.50 (2.80-4.19),415,91.21,4.46 (4.27-4.64),17.76,7.97
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,218.0,0.058,23.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,735.0,0.054,15.0,277,4,1.44,6.42 (5.85-7.00),273,98.56,3.86 (3.61-4.10),3.94,9.02
connective tissue cells 21,114.0,0.316,70.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10),2.82,1.99
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,69.0,0.222,46.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,448.0,0.088,33.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,45.0,0.326,50.0,8,0,0.0,NA,8,100.0,NA,NA,3.20
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.146,97.0,238,18,7.56,4.06 (3.22-4.90),220,92.44,3.60 (3.37-3.83),7.49,4.82
microglia 1,813.0,0.093,20.0,79,4,5.06,5.04 (2.46-7.61),75,94.94,2.99 (2.60-3.38),3.34,8.14
oligodendrocytes 3,743.0,0.061,19.0,76,2,2.63,4.81 (2.72-6.91),74,97.37,3.11 (2.71-3.51),4.72,7.36
oligodendrocytes 2,1630.0,0.147,61.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
