tipo_celular,module_size,MSH2_MM,MSH2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,610.0,0.132,34.0,98,29,29.59,1.80 (1.39-2.20),69,70.41,3.77 (3.45-4.08),7.20,2.71
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,66,18.7,2.21 (1.92-2.50),287,81.3,4.38 (4.20-4.55),19.14,5.52
GABA neurons expressing GLU receptors 22,1069.0,0.185,64.0,37,2,5.41,2.13 (0.94-3.32),35,94.59,2.16 (1.68-2.64),2.24,3.15
GLU like neurons 17,380.0,0.133,24.0,39,1,2.56,4.12 (NA-NA),38,97.44,2.93 (2.37-3.50),2.37,2.57
da like neurons 11,102.0,0.252,53.0,8,0,0.0,NA,8,100.0,2.36 (0.98-3.74),NA,1.92
GABA neurons expressing GABA receptors 13,357.0,0.163,50.0,237,10,4.22,3.10 (2.42-3.79),227,95.78,4.49 (4.25-4.72),3.54,4.21
endothelial cells 9,1653.0,0.118,42.0,297,12,4.04,3.39 (2.74-4.05),285,95.96,3.68 (3.47-3.89),4.16,5.58
oligodendrocytes 20,233.0,0.175,41.0,5,3,60.0,NA,2,40.0,0.63 (-0.10-1.37),1.32,3.31
GABA like neurons 14,3052.0,0.176,80.0,125,4,3.2,3.81 (2.47-5.14),121,96.8,3.34 (3.01-3.67),2.88,8.80
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.083,55.0,276,53,19.2,2.31 (2.01-2.62),223,80.8,3.92 (3.67-4.16),9.15,4.15
oligodendrocytes 10,2107.0,0.043,4.0,358,65,18.16,2.18 (1.86-2.49),293,81.84,4.37 (4.18-4.55),22.93,6.49
connective tissue cells 21,136.0,0.372,86.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,82.0,0.181,31.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.117,57.0,122,26,21.31,2.52 (2.02-3.02),96,78.69,4.56 (4.12-5.00),3.50,3.48
astrocytes microglia 23,96.0,0.343,65.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.119,59.0,238,15,6.3,2.68 (2.04-3.32),223,93.7,3.71 (3.48-3.94),5.61,4.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.086,45.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,347.0,0.109,5.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
