tipo_celular,module_size,PIGG_MM,PIGG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.108,13.0,32,2,6.25,2.24 (NA-NA),30,93.75,3.78 (2.98-4.58),2.30,3.70
T cells 18,477.0,0.163,51.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656.0,0.139,85.0,136,11,8.09,3.08 (2.16-3.99),125,91.91,3.22 (2.94-3.50),4.93,4.99
oligodendrocyte progenitor cells 7,4285.0,0.118,24.0,353,28,7.93,2.55 (1.75-3.34),325,92.07,4.04 (3.86-4.22),23.99,6.69
GABA neurons expressing GLU receptors 22,703.0,0.292,94.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,204.0,0.063,4.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.059,3.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,322.0,0.1,38.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2090.0,0.116,24.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,727.0,0.124,61.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,708.0,0.039,5.0,25,3,12.0,3.10 (0.14-6.06),22,88.0,2.83 (1.77-3.89),1.63,2.66
oligodendrocytes 10,2107.0,0.062,10.0,358,18,5.03,1.50 (0.83-2.16),340,94.97,4.03 (3.85-4.22),33.40,8.21
connective tissue cells 21,106.0,0.315,71.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,367.0,0.185,75.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,121.0,0.233,63.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.341,64.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,1807.0,0.172,92.0,104,18,17.31,2.32 (1.58-3.06),86,82.69,2.98 (2.68-3.28),9.16,4.61
oligodendrocytes 0,2078.0,0.13,82.0,238,3,1.26,1.80 (0.23-3.37),235,98.74,3.66 (3.44-3.88),10.05,4.96
microglia 1,1615.0,0.1,36.0,161,16,9.94,1.20 (0.71-1.69),145,90.06,3.56 (3.30-3.82),12.87,4.61
oligodendrocytes 3,1003.0,0.048,5.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.151,70.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
