tipo_celular,module_size,RPL4_MM,RPL4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.226,55.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,506.0,0.257,70.0,225,33,14.67,2.83 (2.33-3.34),192,85.33,3.76 (3.48-4.03),29.26,4.23
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.159,46.0,164,5,3.05,4.05 (2.27-5.83),159,96.95,4.09 (3.75-4.42),7.60,7.52
GABA neurons expressing GLU receptors 22,848.0,0.257,66.0,262,19,7.25,2.44 (1.64-3.24),243,92.75,4.29 (4.04-4.54),8.72,3.74
GLU like neurons 17,685.0,0.152,61.0,135,34,25.19,2.27 (1.81-2.72),101,74.81,3.48 (3.12-3.83),6.58,2.80
da like neurons 11,1220.0,0.182,51.0,410,26,6.34,3.26 (2.60-3.91),384,93.66,4.32 (4.12-4.51),18.61,6.76
GABA neurons expressing GABA receptors 13,238.0,0.09,7.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,916.0,0.222,55.0,302,18,5.96,3.51 (2.70-4.32),284,94.04,4.02 (3.78-4.25),29.22,9.48
oligodendrocytes 20,358.0,0.138,43.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402.0,0.295,65.0,455,44,9.67,2.21 (1.76-2.65),411,90.33,4.61 (4.43-4.79),25.98,7.00
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.128,67.0,235,20,8.51,3.46 (2.98-3.94),215,91.49,3.86 (3.61-4.10),25.38,5.96
oligodendrocytes 10,483.0,0.339,85.0,129,14,10.85,3.77 (3.30-4.24),115,89.15,3.39 (2.95-3.82),44.95,16.05
connective tissue cells 21,139.0,0.405,90.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,64.0,0.247,80.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.059,5.0,235,9,3.83,2.32 (1.52-3.12),226,96.17,4.07 (3.82-4.32),6.50,4.33
astrocytes microglia 23,116.0,0.35,68.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.133,29.0,252,45,17.86,2.32 (1.87-2.76),207,82.14,4.54 (4.29-4.78),24.48,4.67
microglia 1,406.0,0.301,68.0,278,8,2.88,3.69 (3.08-4.30),270,97.12,4.39 (4.11-4.67),63.64,5.05
oligodendrocytes 3,457.0,0.117,51.0,345,11,3.19,3.20 (2.38-4.02),334,96.81,4.30 (4.09-4.52),21.21,5.18
oligodendrocytes 2,528.0,0.212,57.0,175,13,7.43,3.63 (2.79-4.47),162,92.57,4.43 (4.06-4.79),13.64,3.90
