tipo_celular,module_size,FAM98B_MM,FAM98B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.111,18.0,353,46,13.03,1.81 (1.55-2.08),307,86.97,4.31 (4.14-4.48),27.38,5.17
GABA neurons expressing GLU receptors 22,487.0,0.185,37.0,73,4,5.48,1.44 (1.34-1.53),69,94.52,2.84 (2.44-3.24),2.50,7.61
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,204.0,0.154,35.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,253.0,0.039,7.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402.0,0.185,36.0,455,28,6.15,1.73 (1.27-2.19),427,93.85,4.59 (4.41-4.76),22.14,7.96
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.072,41.0,276,42,15.22,1.98 (1.74-2.22),234,84.78,3.92 (3.69-4.15),11.69,3.93
oligodendrocytes 10,806.0,0.096,25.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,126.0,0.313,67.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74),2.15,1.68
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,51.0,0.285,86.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA),NA,21.90
da neurons 6,448.0,0.081,26.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,43.0,0.321,34.0,3,0,0.0,NA,3,100.0,1.82 (NA-NA),NA,2.20
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.113,47.0,238,13,5.46,2.63 (2.03-3.24),225,94.54,3.71 (3.48-3.93),8.52,4.82
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.055,13.0,76,1,1.32,5.75 (NA-NA),75,98.68,3.12 (2.73-3.51),2.93,7.35
oligodendrocytes 2,1630.0,0.153,73.0,154,2,1.3,2.71 (NA-NA),152,98.7,3.25 (2.98-3.52),1.67,3.62
