tipo_celular,module_size,NEPRO_MM,NEPRO_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.157,54.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.131,44.0,353,16,4.53,1.63 (1.04-2.23),337,95.47,4.03 (3.85-4.21),38.75,6.61
GABA neurons expressing GLU receptors 22,192.0,0.119,41.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44),NA,3.32
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,168.0,0.109,44.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,295.0,0.241,71.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,3052.0,0.158,66.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.08,51.0,276,10,3.62,1.81 (1.40-2.23),266,96.38,3.63 (3.41-3.85),15.93,4.70
oligodendrocytes 10,2107.0,0.056,7.0,358,21,5.87,1.56 (1.09-2.03),337,94.13,4.06 (3.87-4.24),33.68,7.96
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,90.0,0.202,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,86.0,0.442,95.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,1.66
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.09,10.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.061,19.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.157,81.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50),2.04,3.60
