tipo_celular,module_size,MAP6_MM,MAP6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.115,49.0,136,1,0.74,3.31 (NA-NA),135,99.26,3.21 (2.93-3.48),2.54,5.01
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,599.0,0.217,54.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,1316.0,0.091,19.0,101,1,0.99,4.05 (NA-NA),100,99.01,3.04 (2.69-3.39),1.40,3.07
da like neurons 11,853.0,0.094,22.0,133,12,9.02,1.74 (0.94-2.54),121,90.98,3.43 (3.11-3.75),4.30,4.15
GABA neurons expressing GABA receptors 13,70.0,0.146,27.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.245,68.0,306,64,20.92,4.63 (3.98-5.28),242,79.08,5.24 (4.97-5.52),13.45,4.92
astrocytes 8,1266.0,0.064,30.0,66,25,37.88,2.74 (2.03-3.46),41,62.12,3.60 (3.14-4.07),2.99,2.93
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.084,49.0,96,20,20.83,4.03 (3.24-4.82),76,79.17,3.47 (2.93-4.01),3.67,3.83
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228.0,0.069,12.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,140.0,0.324,67.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,787.0,0.145,38.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
