tipo_celular,module_size,TRMT1L_MM,TRMT1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.218,57.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,610.0,0.095,11.0,98,19,19.39,1.40 (0.96-1.83),79,80.61,3.59 (3.29-3.89),6.15,3.53
astrocytes 5,1656.0,0.158,98.0,136,7,5.15,1.71 (1.28-2.13),129,94.85,3.30 (3.02-3.58),7.82,4.83
oligodendrocyte progenitor cells 7,4285.0,0.134,48.0,353,25,7.08,1.36 (1.03-1.70),328,92.92,4.15 (3.97-4.32),30.83,6.33
GABA neurons expressing GLU receptors 22,599.0,0.121,10.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,637.0,0.106,23.0,91,7,7.69,0.61 (0.16-1.06),84,92.31,4.99 (4.54-5.45),2.90,3.07
da like neurons 11,142.0,0.187,38.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,228.0,0.219,56.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85),1.93,2.82
GABA like neurons 14,3052.0,0.146,56.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,260.0,0.038,6.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303.0,0.048,13.0,276,19,6.88,1.67 (1.34-2.01),257,93.12,3.73 (3.51-3.95),10.39,4.72
oligodendrocytes 10,806.0,0.07,14.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,111.0,0.323,67.0,26,0,0.0,NA,26,100.0,2.52 (1.86-3.18),NA,2.17
astrocytes 15,1401.0,0.074,39.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,104.0,0.246,77.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA,1.45,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.275,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.191,100.0,104,21,20.19,1.55 (1.20-1.89),83,79.81,3.23 (2.93-3.53),8.50,4.61
oligodendrocytes 0,2078.0,0.129,80.0,238,6,2.52,2.51 (1.16-3.86),232,97.48,3.67 (3.45-3.89),11.88,4.85
microglia 1,1615.0,0.106,45.0,161,23,14.29,1.22 (0.92-1.51),138,85.71,3.71 (3.45-3.96),11.70,4.39
oligodendrocytes 3,854.0,0.106,68.0,76,4,5.26,1.50 (0.37-2.63),72,94.74,2.86 (2.52-3.19),3.44,4.79
oligodendrocytes 2,1630.0,0.176,97.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
