tipo_celular,module_size,KANK1_MM,KANK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.262,73.0,68,25,36.76,4.55 (3.64-5.46),43,63.24,4.21 (3.53-4.90),2.56,3.75
astrocytes 5,118.0,0.198,30.0,8,2,25.0,7.13 (4.87-9.39),6,75.0,3.19 (1.61-4.78),1.54,2.16
oligodendrocyte progenitor cells 7,436.0,0.142,58.0,219,39,17.81,5.29 (4.74-5.84),180,82.19,5.19 (4.85-5.52),6.22,4.26
GABA neurons expressing GLU receptors 22,823.0,0.296,95.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,489.0,0.201,80.0,42,16,38.1,6.16 (5.36-6.96),26,61.9,5.80 (5.01-6.60),3.50,3.03
da like neurons 11,94.0,0.287,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.206,52.0,120,47,39.17,4.27 (3.84-4.70),73,60.83,4.86 (4.42-5.30),3.94,3.46
oligodendrocytes 20,233.0,0.217,64.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052.0,0.101,18.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,279.0,0.186,16.0,78,39,50.0,4.12 (3.54-4.70),39,50.0,4.53 (3.93-5.12),2.92,2.50
oligodendrocyte progenitor cells 12,254.0,0.137,20.0,37,22,59.46,3.93 (3.34-4.51),15,40.54,5.69 (4.70-6.69),2.38,2.60
oligodendrocytes 10,1277.0,0.229,96.0,27,2,7.41,NA,25,92.59,5.41 (4.54-6.27),1.44,6.77
connective tissue cells 21,104.0,0.283,43.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,208.0,0.205,55.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81),3.98,2.43
oligodendrocytes 16,313.0,0.116,8.0,291,3,1.03,1.90 (0.52-3.28),288,98.97,4.36 (4.14-4.58),2.53,3.83
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.203,16.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,255.0,0.092,2.0,12,2,16.67,5.61 (5.41-5.82),10,83.33,4.12 (3.17-5.08),1.36,2.53
oligodendrocytes 0,187.0,0.258,83.0,14,4,28.57,6.57 (5.36-7.77),10,71.43,5.22 (4.61-5.82),1.74,2.79
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.233,98.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348.0,0.332,87.0,114,54,47.37,5.13 (4.68-5.58),60,52.63,5.08 (4.27-5.90),5.82,3.11
