tipo_celular,module_size,PCBP4_MM,PCBP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.097,22.0,136,9,6.62,2.23 (1.40-3.05),127,93.38,3.29 (3.01-3.57),6.73,4.87
oligodendrocyte progenitor cells 7,628.0,0.069,1.0,164,3,1.83,NA,161,98.17,4.08 (3.76-4.41),2.15,7.63
GABA neurons expressing GLU receptors 22,192.0,0.083,14.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71),1.60,3.54
GLU like neurons 17,229.0,0.038,3.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,853.0,0.093,21.0,133,47,35.34,2.49 (2.04-2.94),86,64.66,3.78 (3.40-4.16),5.42,3.48
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,221.0,0.111,14.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,3052.0,0.142,53.0,125,1,0.8,5.57 (NA-NA),124,99.2,3.33 (3.01-3.65),1.53,8.67
astrocytes 8,603.0,0.066,42.0,89,10,11.24,1.40 (1.01-1.78),79,88.76,2.98 (2.61-3.35),4.73,6.21
oligodendrocyte progenitor cells 12,708.0,0.056,19.0,32,8,25.0,1.36 (0.44-2.29),24,75.0,4.00 (3.12-4.88),3.62,2.26
oligodendrocytes 10,1277.0,0.066,21.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.096,59.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09),1.43,3.85
oligodendrocytes 16,82.0,0.165,19.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.407,88.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,1807.0,0.174,94.0,104,22,21.15,1.80 (1.30-2.29),82,78.85,3.18 (2.88-3.48),8.23,4.64
oligodendrocytes 0,479.0,0.132,34.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.086,42.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,528.0,0.12,8.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73),NA,4.62
