tipo_celular,module_size,ZNF148_MM,ZNF148_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.188,74.0,71,4,5.63,1.32 (0.53-2.12),67,94.37,2.71 (2.29-3.14),1.89,3.68
T cells 18,624,0.172,66.0,142,1,0.7,4.27 (NA-NA),141,99.3,3.20 (2.93-3.47),1.62,4.32
astrocytes 5,1141,0.139,63.0,166,33,19.88,2.33 (1.92-2.74),133,80.12,3.73 (3.45-4.00),6.21,4.14
oligodendrocyte progenitor cells 7,448,0.155,61.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,1069,0.168,52.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,1316,0.134,59.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,289,0.276,84.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,90,0.204,81.0,4,1,25.0,2.24 (NA-NA),3,75.0,6.38 (3.80-8.96),2.06,1.77
endothelial cells 9,1653,0.155,70.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,322,0.078,27.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,1300,0.207,51.0,306,16,5.23,3.20 (2.20-4.20),290,94.77,5.25 (4.99-5.51),9.06,6.58
astrocytes 8,354,0.233,93.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,103,0.474,67.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,2107,0.251,82.0,358,58,16.2,2.16 (1.84-2.49),300,83.8,4.34 (4.15-4.52),25.88,6.30
connective tissue cells 21,69,0.277,46.0,1,0,0.0,NA,1,100.0,NA,NA,1.82
astrocytes 15,1768,0.155,93.0,105,18,17.14,1.56 (1.22-1.89),87,82.86,3.59 (3.23-3.94),6.72,3.41
oligodendrocytes 16,113,0.138,20.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,398,0.119,34.0,138,17,12.32,2.89 (1.92-3.87),121,87.68,5.15 (4.79-5.51),2.31,2.79
astrocytes microglia 23,229,0.244,31.0,99,4,4.04,2.97 (2.40-3.54),95,95.96,4.36 (4.02-4.70),3.30,3.23
astrocytes 4,752,0.19,94.0,96,10,10.42,3.13 (2.49-3.76),86,89.58,3.31 (2.95-3.68),2.70,4.51
oligodendrocytes 0,1186,0.155,67.0,300,8,2.67,3.97 (3.40-4.55),292,97.33,3.79 (3.58-4.00),7.33,4.07
microglia 1,1615,0.136,81.0,161,46,28.57,1.93 (1.63-2.23),115,71.43,3.99 (3.71-4.27),9.80,3.68
oligodendrocytes 3,1003,0.134,78.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804,0.15,49.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12),3.23,3.40
