tipo_celular,module_size,PCM1_MM,PCM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.189,71.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,388,0.085,12.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,1141,0.16,85.0,166,22,13.25,2.22 (1.73-2.72),144,86.75,3.57 (3.30-3.83),7.76,4.06
oligodendrocyte progenitor cells 7,448,0.136,47.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,599,0.089,2.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,685,0.09,21.0,135,18,13.33,2.62 (1.81-3.42),117,86.67,3.30 (2.97-3.62),3.37,3.81
da like neurons 11,197,0.187,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,77,0.14,24.0,8,5,62.5,2.88 (1.85-3.92),3,37.5,4.52 (NA-NA),1.79,1.73
endothelial cells 9,1653,0.155,70.0,297,9,3.03,3.42 (2.67-4.17),288,96.97,3.68 (3.47-3.88),4.66,5.54
oligodendrocytes 20,676,0.344,61.0,110,23,20.91,3.30 (2.69-3.91),87,79.09,5.62 (5.14-6.09),3.45,3.54
GABA like neurons 14,1300,0.131,17.0,306,39,12.75,3.44 (2.89-3.99),267,87.25,5.48 (5.21-5.75),9.19,6.34
astrocytes 8,727,0.139,68.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81),2.39,3.59
oligodendrocyte progenitor cells 12,153,0.463,76.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92),1.35,2.18
oligodendrocytes 10,130,0.401,52.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,82,0.224,21.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,458,0.127,66.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,153,0.332,41.0,14,1,7.14,5.15 (NA-NA),13,92.86,4.63 (3.84-5.42),1.37,3.01
da neurons 6,398,0.117,32.0,138,29,21.01,3.18 (2.55-3.80),109,78.99,5.37 (4.98-5.75),2.97,2.67
astrocytes microglia 23,91,0.202,25.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,752,0.173,79.0,96,14,14.58,3.25 (2.42-4.07),82,85.42,3.30 (2.94-3.65),2.61,4.61
oligodendrocytes 0,261,0.099,8.0,42,24,57.14,3.39 (2.53-4.25),18,42.86,5.53 (5.14-5.93),2.04,2.59
microglia 1,315,0.119,22.0,144,16,11.11,3.94 (3.26-4.62),128,88.89,4.53 (4.20-4.87),3.50,4.29
oligodendrocytes 3,116,0.203,5.0,7,5,71.43,2.01 (-0.06-4.08),2,28.57,6.27 (6.14-6.40),1.51,1.38
oligodendrocytes 2,804,0.151,51.0,84,16,19.05,2.26 (1.21-3.30),68,80.95,2.75 (2.40-3.11),2.75,3.55
