tipo_celular,module_size,AGL_MM,AGL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.15,41.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,727.0,0.116,29.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1141.0,0.108,20.0,166,13,7.83,1.77 (1.16-2.39),153,92.17,3.56 (3.31-3.81),7.81,4.27
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,23,6.52,1.56 (1.10-2.01),330,93.48,4.10 (3.93-4.28),37.60,6.01
GABA neurons expressing GLU receptors 22,823.0,0.255,88.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,1316.0,0.115,43.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,200.0,0.127,22.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.108,34.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,938.0,0.085,29.0,169,16,9.47,2.63 (1.85-3.41),153,90.53,3.55 (3.32-3.77),4.72,5.43
GABA like neurons 14,3052.0,0.157,65.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.052,17.0,66,11,16.67,1.46 (0.77-2.15),55,83.33,3.65 (3.24-4.06),4.29,2.69
oligodendrocyte progenitor cells 12,3303.0,0.087,61.0,276,14,5.07,1.88 (1.38-2.38),262,94.93,3.66 (3.44-3.88),18.45,4.40
oligodendrocytes 10,130.0,0.028,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,145.0,0.307,59.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,1768.0,0.106,68.0,105,15,14.29,1.83 (1.31-2.36),90,85.71,3.46 (3.11-3.82),9.07,3.13
oligodendrocytes 16,91.0,0.197,36.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228.0,0.11,64.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,110.0,0.273,23.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.16,61.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,2078.0,0.099,20.0,238,3,1.26,1.80 (0.23-3.37),235,98.74,3.66 (3.44-3.88),10.05,4.96
microglia 1,1615.0,0.11,50.0,161,22,13.66,1.53 (1.06-2.00),139,86.34,3.62 (3.36-3.89),13.94,4.09
oligodendrocytes 3,1003.0,0.052,7.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.139,44.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
