tipo_celular,module_size,AURKAIP1_MM,AURKAIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,506.0,0.19,53.0,225,24,10.67,2.28 (1.86-2.69),201,89.33,3.84 (3.58-4.11),14.38,7.13
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.309,82.0,410,18,4.39,2.40 (1.99-2.80),392,95.61,4.37 (4.18-4.56),17.54,7.06
GABA neurons expressing GABA receptors 13,417.0,0.203,73.0,213,39,18.31,1.96 (1.63-2.29),174,81.69,4.33 (4.11-4.56),13.46,8.84
endothelial cells 9,916.0,0.324,75.0,302,23,7.62,2.84 (2.37-3.32),279,92.38,4.11 (3.87-4.35),21.02,9.80
oligodendrocytes 20,938.0,0.193,78.0,169,19,11.24,2.26 (1.83-2.69),150,88.76,3.67 (3.45-3.90),9.46,4.84
GABA like neurons 14,2402.0,0.564,93.0,455,43,9.45,2.24 (1.86-2.62),412,90.55,4.66 (4.48-4.84),21.42,7.52
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,735.0,0.188,85.0,277,3,1.08,3.93 (2.97-4.89),274,98.92,3.89 (3.65-4.14),3.12,9.01
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,85.0,0.226,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.228,83.0,182,15,8.24,2.81 (2.25-3.37),167,91.76,3.73 (3.46-4.00),19.25,7.56
astrocytes microglia 23,132.0,0.395,81.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.161,45.0,252,34,13.49,2.02 (1.59-2.46),218,86.51,4.54 (4.31-4.78),14.73,7.19
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.149,55.0,154,4,2.6,3.07 (2.72-3.42),150,97.4,3.64 (3.31-3.97),62.70,10.48
oligodendrocytes 2,526.0,0.292,58.0,213,10,4.69,3.10 (2.46-3.73),203,95.31,4.04 (3.75-4.32),21.26,7.28
