tipo_celular,module_size,CREBL2_MM,CREBL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.151,46.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,727.0,0.079,6.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.135,51.0,353,42,11.9,1.79 (1.52-2.05),311,88.1,4.27 (4.10-4.45),20.17,6.43
GABA neurons expressing GLU receptors 22,848.0,0.11,8.0,262,8,3.05,2.71 (1.38-4.03),254,96.95,4.22 (3.98-4.47),4.00,4.11
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.081,7.0,410,10,2.44,2.99 (2.05-3.93),400,97.56,4.29 (4.10-4.48),8.97,7.48
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,338.0,0.091,26.0,191,1,0.52,2.06 (NA-NA),190,99.48,3.90 (3.67-4.12),9.76,9.15
oligodendrocytes 20,403.0,0.102,44.0,18,7,38.89,0.68 (0.46-0.91),11,61.11,2.64 (1.80-3.47),5.44,2.74
GABA like neurons 14,2402.0,0.257,57.0,455,19,4.18,2.06 (1.22-2.90),436,95.82,4.48 (4.30-4.66),19.51,8.37
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.052,18.0,276,45,16.3,2.10 (1.86-2.33),231,83.7,3.94 (3.70-4.17),6.91,4.76
oligodendrocytes 10,483.0,0.039,5.0,129,1,0.78,3.96 (NA-NA),128,99.22,3.42 (3.03-3.82),2.60,19.32
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,64.0,0.139,23.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.103,52.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,111.0,0.319,52.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.106,32.0,238,15,6.3,2.37 (2.00-2.75),223,93.7,3.74 (3.51-3.97),6.30,4.94
microglia 1,1615.0,0.175,97.0,161,42,26.09,1.87 (1.60-2.15),119,73.91,3.93 (3.64-4.21),8.45,4.37
oligodendrocytes 3,743.0,0.061,19.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.146,59.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
