tipo_celular,module_size,TTC21B_MM,TTC21B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.087,7.0,71,7,9.86,1.69 (1.12-2.25),64,90.14,2.74 (2.29-3.19),1.91,3.76
T cells 18,610.0,0.206,83.0,98,22,22.45,1.85 (1.41-2.29),76,77.55,3.54 (3.20-3.88),3.74,4.12
astrocytes 5,1141.0,0.131,50.0,166,20,12.05,1.86 (1.48-2.24),146,87.95,3.65 (3.39-3.91),3.56,4.68
oligodendrocyte progenitor cells 7,4285.0,0.196,100.0,353,49,13.88,2.25 (1.92-2.57),304,86.12,4.23 (4.05-4.42),14.98,6.95
GABA neurons expressing GLU receptors 22,714.0,0.179,50.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,380.0,0.151,36.0,39,3,7.69,3.04 (1.87-4.21),36,92.31,2.96 (2.36-3.55),3.52,2.49
da like neurons 11,132.0,0.366,78.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.128,50.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,233.0,0.194,51.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052.0,0.264,100.0,125,5,4.0,4.27 (3.72-4.82),120,96.0,3.32 (2.99-3.65),1.74,8.90
astrocytes 8,727.0,0.049,9.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81),2.39,3.59
oligodendrocyte progenitor cells 12,3303.0,0.163,100.0,276,41,14.86,2.26 (1.91-2.61),235,85.14,3.84 (3.61-4.08),7.65,4.67
oligodendrocytes 10,2107.0,0.077,16.0,358,45,12.57,1.98 (1.70-2.27),313,87.43,4.25 (4.06-4.43),19.12,8.09
connective tissue cells 21,139.0,0.282,44.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,1768.0,0.085,49.0,105,17,16.19,1.81 (1.25-2.36),88,83.81,3.51 (3.15-3.87),5.27,3.73
oligodendrocytes 16,123.0,0.159,17.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.28,25.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,787.0,0.174,87.0,65,9,13.85,4.27 (3.68-4.86),56,86.15,2.79 (2.37-3.20),2.56,6.26
oligodendrocytes 0,1186.0,0.162,79.0,300,4,1.33,2.95 (2.25-3.66),296,98.67,3.81 (3.60-4.01),2.29,4.18
microglia 1,1615.0,0.12,64.0,161,33,20.5,1.77 (1.51-2.04),128,79.5,3.77 (3.49-4.06),6.37,5.19
oligodendrocytes 3,1003.0,0.1,55.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921.0,0.157,81.0,200,7,3.5,2.69 (2.05-3.34),193,96.5,3.66 (3.39-3.94),5.37,3.39
