tipo_celular,module_size,APOLD1_MM,APOLD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,388.0,0.154,52.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,932.0,0.11,52.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.112,19.0,353,2,0.57,0.38 (0.04-0.71),351,99.43,3.91 (3.73-4.10),18.08,8.01
GABA neurons expressing GLU receptors 22,567.0,0.171,41.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64),NA,3.63
GLU like neurons 17,685.0,0.328,94.0,135,3,2.22,0.82 (0.54-1.10),132,97.78,3.25 (2.95-3.56),2.66,3.77
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.353,88.0,155,1,0.65,4.27 (NA-NA),154,99.35,4.34 (3.97-4.71),3.02,4.34
oligodendrocytes 20,295.0,0.421,94.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,771.0,0.109,45.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.165,70.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.162,78.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,106.0,0.28,60.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,458.0,0.092,48.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,81.0,0.176,48.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,76.0,0.333,59.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,255.0,0.109,5.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,613.0,0.159,65.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.231,98.0,87,1,1.15,0.55 (NA-NA),86,98.85,2.61 (2.34-2.88),2.53,4.26
oligodendrocytes 2,921.0,0.155,79.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
