tipo_celular,module_size,MT1M_MM,MT1M_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.416,95.0,128,16,12.5,6.04 (3.82-8.27),112,87.5,3.49 (3.15-3.82),4.10,7.14
oligodendrocyte progenitor cells 7,448.0,0.177,75.0,108,2,1.85,NA,106,98.15,3.26 (2.82-3.69),1.56,17.41
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.463,89.0,302,12,3.97,4.86 (0.30-9.41),290,96.03,3.97 (3.75-4.19),2.62,10.99
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.255,95.0,89,12,13.48,7.18 (NA-NA),77,86.52,2.69 (2.36-3.02),2.94,6.53
oligodendrocyte progenitor cells 12,1049.0,0.351,94.0,235,2,0.85,3.90 (3.90-3.90),233,99.15,3.82 (3.59-4.06),1.52,7.67
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.176,97.0,105,5,4.76,1.28 (0.44-2.13),100,95.24,3.32 (2.98-3.65),5.21,3.92
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,110.0,0.399,89.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,208.0,0.368,90.0,173,29,16.76,4.59 (3.85-5.33),144,83.24,3.68 (3.36-4.00),4.06,5.94
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
