tipo_celular,module_size,RAB3C_MM,RAB3C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.15,30.0,251,4,1.59,NA,247,98.41,4.07 (3.83-4.30),1.50,6.23
GABA neurons expressing GLU receptors 22,848.0,0.129,14.0,262,32,12.21,3.57 (2.98-4.17),230,87.79,4.24 (3.97-4.50),5.77,3.87
GLU like neurons 17,795.0,0.164,66.0,80,3,3.75,2.53 (2.34-2.73),77,96.25,5.80 (5.40-6.19),4.07,2.97
da like neurons 11,137.0,0.354,77.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,238.0,0.186,63.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.116,14.0,455,30,6.59,2.76 (2.07-3.44),425,93.41,4.46 (4.27-4.65),20.33,8.02
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.082,55.0,276,15,5.43,2.51 (1.91-3.10),261,94.57,3.62 (3.39-3.85),7.36,4.98
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.327,98.0,124,7,5.65,2.80 (0.45-5.14),117,94.35,4.23 (3.83-4.63),2.34,3.07
astrocytes microglia 23,121.0,0.353,77.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
