tipo_celular,module_size,WASHC2C_MM,WASHC2C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.183,73.0,142,1,0.7,3.79 (NA-NA),141,99.3,3.20 (2.94-3.47),3.00,4.31
astrocytes 5,1656.0,0.097,22.0,136,2,1.47,3.71 (2.16-5.26),134,98.53,3.20 (2.93-3.47),3.08,5.02
oligodendrocyte progenitor cells 7,4285.0,0.144,63.0,353,46,13.03,2.69 (2.18-3.19),307,86.97,4.13 (3.95-4.32),20.85,6.15
GABA neurons expressing GLU receptors 22,1069.0,0.067,2.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,1247.0,0.112,33.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,82.0,0.152,19.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.048,1.0,297,5,1.68,5.79 (4.35-7.23),292,98.32,3.64 (3.43-3.84),2.93,5.56
oligodendrocytes 20,676.0,0.054,25.0,110,18,16.36,3.46 (2.56-4.36),92,83.64,5.42 (4.96-5.88),3.54,3.52
GABA like neurons 14,3052.0,0.075,7.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,520.0,0.026,1.0,288,34,11.81,3.42 (2.88-3.97),254,88.19,4.30 (4.09-4.51),8.38,4.19
oligodendrocyte progenitor cells 12,1049.0,0.058,23.0,235,7,2.98,3.30 (2.55-4.04),228,97.02,3.84 (3.60-4.08),3.69,7.73
oligodendrocytes 10,483.0,0.076,27.0,129,2,1.55,4.36 (2.78-5.94),127,98.45,3.41 (3.01-3.81),3.15,19.44
connective tissue cells 21,82.0,0.39,93.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,1401.0,0.082,46.0,96,17,17.71,3.75 (2.97-4.53),79,82.29,3.58 (3.04-4.11),3.91,3.77
oligodendrocytes 16,81.0,0.266,78.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,518.0,0.113,53.0,122,26,21.31,2.19 (1.72-2.66),96,78.69,4.69 (4.28-5.09),4.74,3.14
astrocytes microglia 23,111.0,0.399,92.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.114,8.0,104,16,15.38,2.27 (1.62-2.91),88,84.62,2.98 (2.67-3.29),11.60,4.27
oligodendrocytes 0,2078.0,0.097,18.0,238,6,2.52,2.43 (1.31-3.55),232,97.48,3.67 (3.45-3.90),8.46,4.93
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.064,22.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.143,52.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50),2.04,3.60
