tipo_celular,module_size,NDUFV2_MM,NDUFV2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.215,46.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,477,0.267,93.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656,0.136,82.0,136,2,1.47,1.73 (0.92-2.54),134,98.53,3.23 (2.96-3.51),8.76,4.93
oligodendrocyte progenitor cells 7,4285,0.137,53.0,353,18,5.1,1.15 (0.80-1.49),335,94.9,4.08 (3.91-4.26),33.51,6.70
GABA neurons expressing GLU receptors 22,567,0.067,3.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,380,0.191,64.0,39,1,2.56,1.74 (NA-NA),38,97.44,3.00 (2.44-3.56),2.57,2.57
da like neurons 11,1220,0.141,35.0,410,70,17.07,3.71 (3.45-3.97),340,82.93,4.40 (4.17-4.62),16.72,5.62
GABA neurons expressing GABA receptors 13,417,0.19,67.0,213,78,36.62,3.28 (2.94-3.62),135,63.38,4.15 (3.81-4.48),15.03,6.60
endothelial cells 9,916,0.166,37.0,302,62,20.53,3.78 (3.48-4.08),240,79.47,4.05 (3.76-4.34),18.84,8.54
oligodendrocytes 20,938,0.172,71.0,169,53,31.36,3.62 (3.31-3.92),116,68.64,3.40 (3.11-3.70),4.03,5.97
GABA like neurons 14,2402,0.371,76.0,455,70,15.38,3.40 (3.04-3.76),385,84.62,4.58 (4.37-4.78),18.53,7.07
astrocytes 8,140,0.074,34.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,1049,0.135,71.0,235,51,21.7,4.00 (3.71-4.29),184,78.3,3.76 (3.47-4.06),6.62,7.89
oligodendrocytes 10,483,0.076,27.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,86,0.234,23.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95),NA,1.48
astrocytes 15,1768,0.096,58.0,105,9,8.57,1.32 (0.83-1.81),96,91.43,3.41 (3.07-3.75),5.99,3.79
oligodendrocytes 16,113,0.169,21.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75),NA,1.88
da neurons 6,729,0.222,81.0,182,18,9.89,4.00 (3.25-4.74),164,90.11,3.59 (3.32-3.86),13.97,7.92
astrocytes microglia 23,125,0.293,37.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,1807,0.142,45.0,104,10,9.62,1.24 (0.77-1.72),94,90.38,3.05 (2.77-3.33),12.58,4.63
oligodendrocytes 0,2078,0.108,37.0,238,3,1.26,1.39 (0.07-2.70),235,98.74,3.67 (3.45-3.89),15.43,4.89
microglia 1,958,0.104,40.0,290,2,0.69,3.48 (3.47-3.49),288,99.31,3.82 (3.59-4.05),3.01,5.01
oligodendrocytes 3,743,0.079,46.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,526,0.128,8.0,213,56,26.29,4.01 (3.76-4.25),157,73.71,3.96 (3.58-4.35),9.44,7.40
