tipo_celular,module_size,ADCY9_MM,ADCY9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.194,39.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,349.0,0.159,43.0,68,5,7.35,1.55 (0.76-2.34),63,92.65,4.67 (4.13-5.21),2.70,3.36
astrocytes 5,932.0,0.097,33.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285.0,0.118,25.0,353,10,2.83,1.41 (0.76-2.06),343,97.17,3.98 (3.80-4.17),33.85,7.31
GABA neurons expressing GLU receptors 22,823.0,0.223,77.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,300.0,0.231,82.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,215.0,0.415,96.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.282,74.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.299,88.0,306,12,3.92,1.84 (1.29-2.40),294,96.08,5.29 (5.04-5.55),5.70,6.75
astrocytes 8,1266.0,0.113,74.0,66,4,6.06,1.43 (0.01-2.84),62,93.94,3.36 (2.94-3.78),4.61,2.85
oligodendrocyte progenitor cells 12,3303.0,0.078,49.0,276,11,3.99,1.98 (1.30-2.66),265,96.01,3.63 (3.41-3.85),9.78,4.92
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,92.0,0.279,51.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,208.0,0.064,35.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.325,53.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59),NA,2.93
astrocytes 4,171.0,0.134,23.0,22,1,4.55,2.54 (NA-NA),21,95.45,4.67 (3.72-5.61),1.65,2.03
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.09,21.0,161,10,6.21,1.41 (0.76-2.06),151,93.79,3.43 (3.16-3.69),11.51,5.03
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
