tipo_celular,module_size,NKAIN2_MM,NKAIN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.637,96.0,68,5,7.35,1.56 (0.97-2.15),63,92.65,4.67 (4.12-5.21),3.44,3.30
astrocytes 5,165.0,0.231,66.0,51,1,1.96,8.28 (NA-NA),50,98.04,5.27 (4.60-5.93),1.90,2.97
oligodendrocyte progenitor cells 7,229.0,0.675,100.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,703.0,0.163,36.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,795.0,0.146,57.0,80,1,1.25,8.28 (NA-NA),79,98.75,5.63 (5.22-6.04),1.97,3.03
da like neurons 11,89.0,0.431,88.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.562,92.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676.0,0.282,52.0,110,2,1.82,0.83 (0.75-0.91),108,98.18,5.10 (4.67-5.53),3.63,3.52
GABA like neurons 14,1300.0,0.117,12.0,306,11,3.59,3.74 (2.20-5.28),295,96.41,5.17 (4.91-5.43),3.24,6.84
astrocytes 8,771.0,0.563,95.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.695,100.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84),NA,2.54
oligodendrocytes 10,204.0,0.547,86.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17),NA,3.72
connective tissue cells 21,250.0,0.646,90.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77),NA,3.74
astrocytes 15,458.0,0.24,88.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,199.0,0.125,12.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,190.0,0.25,40.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,220.0,0.195,68.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69),NA,3.29
oligodendrocytes 0,479.0,0.269,95.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.243,98.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68),NA,2.22
oligodendrocytes 2,237.0,0.482,100.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
