tipo_celular,module_size,ZNF638_MM,ZNF638_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.108,14.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,388,0.144,45.0,84,2,2.38,2.29 (2.26-2.32),82,97.62,2.99 (2.66-3.33),1.86,4.38
astrocytes 5,165,0.126,22.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,229,0.048,2.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567,0.135,22.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64),NA,3.63
GLU like neurons 17,637,0.232,71.0,91,7,7.69,0.47 (0.28-0.65),84,92.31,5.01 (4.56-5.46),3.73,3.00
da like neurons 11,102,0.294,64.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20),2.05,1.90
GABA neurons expressing GABA receptors 13,288,0.198,61.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80),1.82,4.02
endothelial cells 9,1653,0.249,98.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,676,0.307,55.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58),3.60,3.52
GABA like neurons 14,1300,0.195,45.0,306,4,1.31,0.73 (0.37-1.08),302,98.69,5.18 (4.92-5.43),6.68,6.71
astrocytes 8,771,0.314,82.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708,0.119,54.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107,0.115,36.0,358,42,11.73,1.69 (1.37-2.00),316,88.27,4.26 (4.08-4.44),31.81,6.50
connective tissue cells 21,250,0.201,18.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77),NA,3.74
astrocytes 15,268,0.253,84.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29),1.44,1.63
oligodendrocytes 16,71,0.096,0.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,398,0.248,79.0,138,8,5.8,1.41 (0.57-2.25),130,94.2,5.07 (4.73-5.42),2.76,2.73
astrocytes microglia 23,109,0.147,0.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,220,0.161,48.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69),NA,3.29
oligodendrocytes 0,479,0.062,1.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,315,0.17,49.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77),NA,4.21
oligodendrocytes 3,99,0.063,3.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,348,0.269,74.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52),NA,4.39
