tipo_celular,module_size,IAH1_MM,IAH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,727.0,0.15,56.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.112,19.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09),9.48,8.06
GABA neurons expressing GLU receptors 22,703.0,0.098,8.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,685.0,0.108,34.0,135,1,0.74,0.55 (NA-NA),134,99.26,3.21 (2.91-3.52),3.02,3.75
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.115,24.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,938.0,0.233,87.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72),3.86,5.37
GABA like neurons 14,2402.0,0.251,56.0,455,1,0.22,0.55 (NA-NA),454,99.78,4.35 (4.17-4.54),23.10,8.80
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.111,61.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,735.0,0.074,34.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,111.0,0.354,75.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,64.0,0.127,8.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,134.0,0.423,92.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55),NA,1.74
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.082,5.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86),NA,5.02
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.04,2.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11),NA,4.72
oligodendrocytes 2,1630.0,0.134,34.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
