tipo_celular,module_size,ZNF248_MM,ZNF248_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.194,43.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,624.0,0.197,81.0,142,1,0.7,4.27 (NA-NA),141,99.3,3.20 (2.93-3.47),1.62,4.32
astrocytes 5,499.0,0.137,34.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285.0,0.124,33.0,353,36,10.2,2.13 (1.81-2.44),317,89.8,4.16 (3.97-4.35),12.30,7.58
GABA neurons expressing GLU receptors 22,714.0,0.152,32.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,300.0,0.156,21.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,82.0,0.338,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.137,57.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,250.0,0.273,75.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,1300.0,0.142,20.0,306,6,1.96,1.26 (0.53-2.00),300,98.04,5.21 (4.95-5.46),5.15,6.74
astrocytes 8,1266.0,0.106,70.0,66,5,7.58,2.29 (0.88-3.69),61,92.42,3.32 (2.88-3.75),2.81,2.96
oligodendrocyte progenitor cells 12,3303.0,0.088,62.0,276,29,10.51,1.78 (1.53-2.02),247,89.49,3.82 (3.60-4.05),6.78,4.91
oligodendrocytes 10,1277.0,0.05,12.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,118.0,0.222,16.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,1401.0,0.025,2.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09),1.43,3.85
oligodendrocytes 16,91.0,0.148,15.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,228.0,0.09,39.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,157.0,0.26,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.182,90.0,96,9,9.38,2.93 (2.36-3.49),87,90.62,3.34 (2.97-3.70),2.73,4.48
oligodendrocytes 0,2078.0,0.106,33.0,238,11,4.62,2.39 (1.82-2.97),227,95.38,3.71 (3.48-3.93),6.99,4.93
microglia 1,1615.0,0.109,50.0,161,33,20.5,2.05 (1.72-2.37),128,79.5,3.68 (3.38-3.98),5.31,5.46
oligodendrocytes 3,639.0,0.129,74.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68),NA,2.22
oligodendrocytes 2,804.0,0.142,39.0,84,2,2.38,0.51 (-0.09-1.11),82,97.62,2.76 (2.42-3.09),3.31,3.40
