tipo_celular,module_size,ACAT1_MM,ACAT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.124,64.0,136,3,2.21,2.40 (1.01-3.80),133,97.79,3.23 (2.95-3.50),6.44,4.96
oligodendrocyte progenitor cells 7,4285.0,0.123,31.0,353,26,7.37,2.09 (1.39-2.79),327,92.63,4.08 (3.90-4.26),30.02,6.32
GABA neurons expressing GLU receptors 22,400.0,0.232,70.0,24,8,33.33,1.03 (0.29-1.76),16,66.67,2.72 (2.24-3.20),5.53,2.61
GLU like neurons 17,1316.0,0.113,41.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,132.0,0.038,0.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.103,25.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,358.0,0.165,55.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,3052.0,0.095,15.0,125,3,2.4,5.13 (2.04-8.22),122,97.6,3.30 (2.98-3.61),3.36,8.74
astrocytes 8,520.0,0.029,2.0,288,18,6.25,3.21 (2.68-3.75),270,93.75,4.24 (4.03-4.44),10.30,4.31
oligodendrocyte progenitor cells 12,708.0,0.05,16.0,32,6,18.75,0.95 (-0.08-1.97),26,81.25,3.87 (3.06-4.69),4.08,2.26
oligodendrocytes 10,735.0,0.069,28.0,277,9,3.25,3.76 (3.56-3.95),268,96.75,3.90 (3.65-4.15),4.06,9.11
connective tissue cells 21,112.0,0.165,16.0,7,1,14.29,2.14 (NA-NA),6,85.71,1.92 (1.00-2.84),1.92,1.94
astrocytes 15,443.0,0.207,84.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,91.0,0.213,58.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,228.0,0.094,45.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,121.0,0.272,24.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,1807.0,0.156,71.0,104,15,14.42,1.81 (1.27-2.35),89,85.58,3.06 (2.76-3.36),12.90,4.13
oligodendrocytes 0,2078.0,0.11,41.0,238,7,2.94,2.69 (1.49-3.89),231,97.06,3.67 (3.45-3.89),8.98,4.90
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.039,2.0,345,12,3.48,3.16 (2.62-3.70),333,96.52,4.31 (4.10-4.52),18.54,5.23
oligodendrocytes 2,1630.0,0.146,60.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52),5.25,3.57
