tipo_celular,module_size,RIPK1_MM,RIPK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.174,42.0,102,61,59.8,3.10 (2.75-3.45),41,40.2,4.09 (3.39-4.79),3.54,2.27
T cells 18,624.0,0.125,27.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.113,45.0,136,7,5.15,2.32 (1.33-3.31),129,94.85,3.26 (2.99-3.54),7.37,4.86
oligodendrocyte progenitor cells 7,4285.0,0.14,57.0,353,78,22.1,2.46 (2.20-2.73),275,77.9,4.45 (4.27-4.64),15.17,6.05
GABA neurons expressing GLU receptors 22,599.0,0.162,27.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08),1.72,4.17
GLU like neurons 17,1247.0,0.067,8.0,51,3,5.88,2.62 (1.48-3.76),48,94.12,3.70 (3.09-4.31),2.61,3.28
da like neurons 11,97.0,0.238,60.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.107,34.0,297,6,2.02,4.11 (2.06-6.16),291,97.98,3.67 (3.46-3.87),3.46,5.56
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.099,13.0,74,14,18.92,2.25 (2.01-2.49),60,81.08,3.14 (2.67-3.60),3.44,12.15
astrocytes 8,262.0,0.097,30.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.061,27.0,276,67,24.28,2.52 (2.27-2.77),209,75.72,3.99 (3.73-4.25),6.86,4.55
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,111.0,0.296,54.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,418.0,0.05,27.0,54,8,14.81,3.22 (2.62-3.83),46,85.19,3.77 (3.26-4.28),2.47,3.11
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.317,49.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80),NA,3.04
astrocytes 4,1807.0,0.111,6.0,104,31,29.81,2.13 (1.73-2.53),73,70.19,3.21 (2.87-3.55),7.36,4.57
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.125,70.0,290,42,14.48,3.58 (3.01-4.16),248,85.52,3.86 (3.61-4.11),4.22,5.13
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
