tipo_celular,module_size,KCNQ3_MM,KCNQ3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.481,93.0,140,2,1.43,2.42 (2.37-2.47),138,98.57,4.59 (4.31-4.88),6.54,3.50
T cells 18,388.0,0.096,16.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.088,6.0,127,6,4.72,1.77 (1.17-2.37),121,95.28,3.99 (3.65-4.32),4.69,5.89
GABA neurons expressing GLU receptors 22,714.0,0.304,92.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,795.0,0.32,95.0,80,15,18.75,4.81 (3.96-5.65),65,81.25,5.92 (5.47-6.37),3.38,2.93
da like neurons 11,191.0,0.472,89.0,93,19,20.43,4.12 (3.61-4.62),74,79.57,6.14 (5.71-6.57),4.87,3.95
GABA neurons expressing GABA receptors 13,90.0,0.22,89.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07),NA,1.84
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.02,2.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,1300.0,0.203,49.0,306,45,14.71,3.28 (2.89-3.67),261,85.29,5.53 (5.26-5.81),7.25,6.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,143.0,0.485,89.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107.0,0.208,71.0,358,6,1.68,0.86 (0.39-1.33),352,98.32,3.93 (3.74-4.12),12.08,9.43
connective tissue cells 21,183.0,0.31,64.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86),1.48,2.71
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,108.0,0.273,81.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00),NA,2.53
da neurons 6,553.0,0.243,92.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58),NA,3.03
astrocytes microglia 23,229.0,0.463,94.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63),NA,3.24
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,1186.0,0.091,3.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01),1.54,4.16
microglia 1,315.0,0.239,76.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77),NA,4.21
oligodendrocytes 3,854.0,0.084,43.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,131.0,0.21,66.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52),1.90,4.03
