tipo_celular,module_size,CREBBP_MM,CREBBP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.146,42.0,71,18,25.35,2.81 (2.17-3.45),53,74.65,2.55 (2.03-3.06),2.96,3.79
T cells 18,610.0,0.173,67.0,98,52,53.06,2.31 (1.99-2.63),46,46.94,4.24 (3.85-4.62),5.42,2.47
astrocytes 5,932.0,0.128,76.0,80,3,3.75,4.37 (4.37-4.37),77,96.25,3.65 (3.23-4.07),1.76,4.40
oligodendrocyte progenitor cells 7,448.0,0.136,47.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70),1.97,17.26
GABA neurons expressing GLU receptors 22,823.0,0.199,63.0,23,6,26.09,2.83 (1.90-3.76),17,73.91,2.23 (1.29-3.17),2.18,3.86
GLU like neurons 17,300.0,0.202,64.0,16,7,43.75,2.78 (1.77-3.79),9,56.25,1.39 (0.16-2.61),1.98,2.85
da like neurons 11,215.0,0.349,87.0,9,1,11.11,NA,8,88.89,0.85 (0.17-1.52),1.66,5.85
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.206,91.0,297,12,4.04,3.84 (3.23-4.45),285,95.96,3.67 (3.45-3.88),5.80,5.51
oligodendrocytes 20,348.0,0.169,62.0,33,6,18.18,3.07 (2.78-3.36),27,81.82,2.65 (2.05-3.25),3.38,3.38
GABA like neurons 14,2090.0,0.22,87.0,74,21,28.38,2.59 (2.16-3.01),53,71.62,3.08 (2.59-3.57),3.43,13.30
astrocytes 8,1266.0,0.187,94.0,66,35,53.03,2.30 (1.84-2.76),31,46.97,4.25 (3.76-4.74),3.16,2.71
oligodendrocyte progenitor cells 12,143.0,0.451,67.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107.0,0.202,70.0,358,111,31.01,2.51 (2.28-2.74),247,68.99,4.71 (4.52-4.89),18.69,5.33
connective tissue cells 21,110.0,0.263,52.0,13,5,38.46,3.02 (1.94-4.10),8,61.54,3.17 (1.95-4.40),1.75,1.67
astrocytes 15,1401.0,0.117,75.0,96,14,14.58,3.18 (2.17-4.19),82,85.42,3.69 (3.19-4.19),3.19,3.90
oligodendrocytes 16,91.0,0.147,14.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.148,2.0,47,11,23.4,2.93 (2.33-3.54),36,76.6,2.81 (2.41-3.21),2.32,3.32
astrocytes 4,255.0,0.135,17.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,1186.0,0.179,92.0,300,26,8.67,3.55 (3.24-3.86),274,91.33,3.82 (3.60-4.05),4.80,4.09
microglia 1,1615.0,0.135,81.0,161,77,47.83,2.36 (2.11-2.62),84,52.17,4.43 (4.10-4.77),8.02,3.06
oligodendrocytes 3,681.0,0.141,82.0,87,74,85.06,2.62 (2.34-2.89),13,14.94,2.37 (1.39-3.35),4.54,2.53
oligodendrocytes 2,407.0,0.176,70.0,122,74,60.66,2.50 (2.22-2.78),48,39.34,6.12 (5.71-6.54),3.13,2.05
