tipo_celular,module_size,DOT1L_MM,DOT1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.181,68.0,71,10,14.08,2.38 (1.42-3.34),61,85.92,2.66 (2.21-3.12),2.41,3.77
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.08,6.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,4285.0,0.127,37.0,353,66,18.7,2.20 (1.94-2.45),287,81.3,4.42 (4.24-4.60),19.88,5.35
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,358.0,0.043,14.0,31,4,12.9,3.17 (2.70-3.64),27,87.1,2.23 (1.76-2.71),2.06,4.09
GABA like neurons 14,2090.0,0.191,75.0,74,18,24.32,2.60 (2.16-3.05),56,75.68,3.06 (2.58-3.55),3.60,12.72
astrocytes 8,1266.0,0.031,3.0,66,24,36.36,2.20 (1.66-2.73),42,63.64,3.92 (3.44-4.40),3.49,2.65
oligodendrocyte progenitor cells 12,3303.0,0.064,31.0,276,53,19.2,2.26 (2.00-2.52),223,80.8,3.96 (3.72-4.21),9.88,3.98
oligodendrocytes 10,2107.0,0.087,21.0,358,91,25.42,2.28 (2.03-2.53),267,74.58,4.52 (4.34-4.70),19.55,6.04
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.066,32.0,96,6,6.25,2.40 (1.57-3.23),90,93.75,3.69 (3.22-4.17),2.92,3.86
oligodendrocytes 16,91.0,0.105,2.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,45.0,0.3,44.0,8,0,0.0,NA,8,100.0,NA,NA,3.20
astrocytes 4,1807.0,0.136,34.0,104,31,29.81,1.99 (1.59-2.39),73,70.19,3.28 (2.95-3.60),9.80,3.53
oligodendrocytes 0,2078.0,0.101,24.0,238,23,9.66,2.69 (2.31-3.07),215,90.34,3.75 (3.51-3.99),5.75,4.95
microglia 1,480.0,0.122,12.0,163,9,5.52,3.05 (2.53-3.57),154,94.48,3.75 (3.47-4.03),5.13,5.17
oligodendrocytes 3,187.0,0.084,36.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,1630.0,0.162,87.0,154,3,1.95,2.97 (2.47-3.46),151,98.05,3.25 (2.98-3.52),2.08,3.62
