tipo_celular,module_size,USP47_MM,USP47_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.144,11.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,349,0.141,34.0,68,6,8.82,1.57 (0.61-2.53),62,91.18,4.67 (4.13-5.21),2.56,3.39
astrocytes 5,1141,0.186,97.0,166,50,30.12,2.76 (2.39-3.13),116,69.88,3.75 (3.44-4.07),5.97,3.94
oligodendrocyte progenitor cells 7,448,0.16,66.0,108,2,1.85,6.11 (5.67-6.55),106,98.15,3.18 (2.75-3.62),1.83,17.41
GABA neurons expressing GLU receptors 22,1069,0.195,71.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,1316,0.094,23.0,101,4,3.96,3.28 (2.35-4.20),97,96.04,3.04 (2.67-3.41),2.56,3.07
da like neurons 11,853,0.059,3.0,133,45,33.83,2.27 (1.93-2.62),88,66.17,3.90 (3.50-4.30),5.94,3.25
GABA neurons expressing GABA receptors 13,88,0.161,53.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,1653,0.194,87.0,297,22,7.41,3.60 (3.34-3.86),275,92.59,3.68 (3.46-3.90),6.35,5.45
oligodendrocytes 20,676,0.535,83.0,110,7,6.36,1.67 (0.99-2.35),103,93.64,5.32 (4.90-5.73),4.35,3.47
GABA like neurons 14,1300,0.161,27.0,306,19,6.21,2.32 (1.85-2.80),287,93.79,5.37 (5.12-5.63),6.05,6.75
astrocytes 8,771,0.223,70.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,138,0.44,37.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,236,0.501,53.0,82,4,4.88,3.24 (2.72-3.75),78,95.12,5.11 (4.57-5.65),2.52,3.90
connective tissue cells 21,152,0.227,28.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,1768,0.207,100.0,105,27,25.71,2.06 (1.65-2.47),78,74.29,3.66 (3.27-4.05),6.35,3.16
oligodendrocytes 16,287,0.414,81.0,105,12,11.43,3.09 (1.85-4.34),93,88.57,5.49 (5.08-5.89),2.57,3.58
da neurons 6,518,0.111,52.0,122,12,9.84,1.48 (0.80-2.16),110,90.16,4.36 (3.98-4.74),2.82,3.56
astrocytes microglia 23,253,0.18,12.0,47,7,14.89,2.51 (1.73-3.28),40,85.11,2.91 (2.55-3.28),1.96,3.28
astrocytes 4,752,0.169,73.0,96,12,12.5,3.11 (2.63-3.60),84,87.5,3.32 (2.94-3.70),2.92,4.52
oligodendrocytes 0,261,0.226,79.0,42,8,19.05,1.40 (1.06-1.74),34,80.95,4.95 (4.38-5.52),2.14,2.31
microglia 1,958,0.114,55.0,290,18,6.21,2.43 (1.84-3.02),272,93.79,3.92 (3.68-4.15),5.53,4.97
oligodendrocytes 3,116,0.278,57.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96),1.62,1.41
oligodendrocytes 2,237,0.11,3.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
