tipo_celular,module_size,TMEM9B_MM,TMEM9B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.185,61.0,164,12,7.32,3.67 (3.21-4.14),152,92.68,4.13 (3.77-4.49),3.31,7.86
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,101.0,0.134,24.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,559.0,0.157,50.0,155,1,0.65,3.13 (NA-NA),154,99.35,4.35 (3.98-4.72),2.86,4.34
oligodendrocytes 20,938.0,0.12,47.0,169,13,7.69,2.82 (2.11-3.52),156,92.31,3.55 (3.32-3.78),5.14,5.38
GABA like neurons 14,2402.0,0.267,59.0,455,24,5.27,2.68 (2.06-3.30),431,94.73,4.47 (4.29-4.66),23.57,8.01
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.056,21.0,235,12,5.11,3.58 (3.12-4.05),223,94.89,3.84 (3.59-4.09),3.65,7.83
oligodendrocytes 10,735.0,0.108,57.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,113.0,0.256,79.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75),NA,1.88
da neurons 6,518.0,0.08,16.0,122,13,10.66,1.71 (1.09-2.33),109,89.34,4.36 (3.97-4.75),4.06,3.41
astrocytes microglia 23,39.0,0.396,85.0,3,0,0.0,NA,3,100.0,7.74 (6.69-8.80),NA,1.48
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.104,29.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.069,14.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,528.0,0.188,42.0,175,17,9.71,3.37 (2.94-3.80),158,90.29,4.55 (4.16-4.95),8.64,4.19
